Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,2
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,2
RandomForest,Anonymous,0.5375,0.5492,0.5375,0.543,,,-0.0566,-0.0568,3,2
RandomForest,CTGAN,0.5792,0.5869,0.5792,0.5828,,,0.0315,0.0315,3,2
RandomForest,GaussianCopula,0.6958,0.6535,0.6958,0.6128,,,0.0758,0.1193,3,2
RandomForest,Original,0.8208,0.8188,0.8208,0.8102,,,0.5404,0.5575,3,2
RandomForest,TVAE,0.3958,0.5729,0.3958,0.3736,,,-0.0006,-0.0009,3,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,3
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,3
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,3
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,3
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,3
RandomForest,Anonymous,0.5708,0.5724,0.5708,0.5716,,,-0.0024,-0.0024,3,3
RandomForest,CTGAN,0.5792,0.5807,0.5792,0.5799,,,0.017,0.017,3,3
RandomForest,GaussianCopula,0.6958,0.6532,0.6958,0.618,,,0.0846,0.1258,3,3
RandomForest,Original,0.8083,0.8031,0.8083,0.7988,,,0.5143,0.5261,3,3
RandomForest,TVAE,0.4417,0.5805,0.4417,0.4467,,,0.0099,0.0128,3,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,5
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,5
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,5
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,5
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,5
RandomForest,Anonymous,0.5625,0.5609,0.5625,0.5617,,,-0.0296,-0.0296,3,5
RandomForest,CTGAN,0.5417,0.5517,0.5417,0.5464,,,-0.051,-0.051,3,5
RandomForest,GaussianCopula,0.7292,0.7606,0.7292,0.6552,,,0.177,0.2787,3,5
RandomForest,Original,0.7875,0.7806,0.7875,0.7733,,,0.4503,0.4676,3,5
RandomForest,TVAE,0.4,0.5576,0.4,0.3894,,,-0.0179,-0.0258,3,5
