Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
LogisticRegression,Anonymous,0.6562,0.5309,0.6562,0.5609,,,-0.0353,-0.0569,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4271,0.4805,0.4271,0.4468,,,-0.1924,-0.2005,,,,,,
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,,,0.5599,0.5693,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4167,0.4669,0.4167,0.4361,,,-0.224,-0.2322,,,,,,
DecisionTree,Original,0.6979,0.7529,0.6979,0.7088,,,0.3813,0.4025,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6042,0.5732,0.6042,0.585,,,0.0065,0.0067,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4479,0.4936,0.4479,0.4656,,,-0.168,-0.1732,,,,,,
RandomForest,Original,0.8021,0.7978,0.8021,0.7991,,,0.5265,0.528,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4583,0.5286,0.4583,0.4781,,,-0.0833,-0.0899,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6042,0.5732,0.6042,0.585,,,0.0065,0.0067,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4792,0.4968,0.4792,0.4873,,,-0.1696,-0.1703,,,,,,
RandomForest,Original,0.8229,0.8193,0.8229,0.8202,,,0.5763,0.5779,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6562,0.5309,0.6562,0.5609,,,-0.0353,-0.0569,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,,,,,,
RandomForest,Original,0.8021,0.796,0.8021,0.794,,,0.5081,0.5166,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,Original,0.6979,0.7529,0.6979,0.7088,,,0.3813,0.4025,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6562,0.5309,0.6562,0.5609,,,-0.0353,-0.0569,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4688,0.521,0.4688,0.487,,,-0.1057,-0.1102,,,,,,
RandomForest,Original,0.8021,0.7963,0.8021,0.7967,,,0.5175,0.5217,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,Original,0.7083,0.768,0.7083,0.7189,,,0.4074,0.433,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6562,0.5309,0.6562,0.5609,,,-0.0353,-0.0569,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4375,0.4799,0.4375,0.4546,,,-0.2,-0.2051,,,,,,
RandomForest,Original,0.7812,0.7794,0.7812,0.7802,,,0.4862,0.4864,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5476,0.5,0.5167,,,-0.0492,-0.051,,,,,,
DecisionTree,Original,0.7396,0.7753,0.7396,0.7479,,,0.449,0.4628,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4479,0.5078,0.4479,0.4677,,,-0.1307,-0.1379,,,,,,
RandomForest,Original,0.8438,0.8421,0.8438,0.8374,,,0.6117,0.6219,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,Original,0.7396,0.7753,0.7396,0.7479,,,0.449,0.4628,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4792,0.5126,0.4792,0.493,,,-0.1299,-0.1321,,,,,,
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,,,0.5599,0.5693,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,Original,0.7396,0.7841,0.7396,0.7485,,,0.458,0.4773,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,,,,,,
RandomForest,Original,0.8438,0.8421,0.8438,0.8374,,,0.6117,0.6219,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4688,0.5137,0.4688,0.4858,,,-0.124,-0.1278,,,,,,
DecisionTree,Original,0.7083,0.768,0.7083,0.7189,,,0.4074,0.433,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4792,0.5347,0.4792,0.4975,,,-0.0753,-0.0789,,,,,,
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,,,0.5472,0.55,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,Original,0.6979,0.7529,0.6979,0.7088,,,0.3813,0.4025,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4688,0.521,0.4688,0.487,,,-0.1057,-0.1102,,,,,,
RandomForest,Original,0.8229,0.8191,0.8229,0.8157,,,0.5599,0.5693,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
DecisionTree,Original,0.7292,0.7786,0.7292,0.7387,,,0.4409,0.4623,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4271,0.4805,0.4271,0.4468,,,-0.1924,-0.2005,,,,,,
RandomForest,Original,0.8021,0.796,0.8021,0.794,,,0.5081,0.5166,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
RandomForest,Anonymous,0.4375,0.4941,0.4375,0.4573,,,-0.1613,-0.1691,,,,,,
RandomForest,Original,0.8438,0.8421,0.8438,0.8374,,,0.6117,0.6219,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4792,0.5274,0.4792,0.4965,,,-0.0929,-0.0963,,,,,,
DecisionTree,CTGAN,0.5208,0.5911,0.5208,0.5383,,,0.0417,0.0449,,,,,,
DecisionTree,GaussianCopula,0.6042,0.5816,0.6042,0.5908,,,0.0256,0.0259,,,,,,
DecisionTree,Original,0.7292,0.7695,0.7292,0.7382,,,0.4317,0.4474,,,,,,
DecisionTree,TVAE,0.6562,0.647,0.6562,0.651,,,0.1776,0.1781,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.5625,0.5544,0.5625,0.5582,,,-0.037,-0.0371,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.7083,0.7952,0.7083,0.6062,,,0.0894,0.2164,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6979,0.6636,0.6979,0.6373,,,0.1311,0.1687,,,,,,
RandomForest,Anonymous,0.4271,0.4662,0.4271,0.4435,,,-0.2325,-0.2374,,,,,,
RandomForest,CTGAN,0.6667,0.6549,0.6667,0.6597,,,0.195,0.196,,,,,,
RandomForest,GaussianCopula,0.75,0.7812,0.75,0.6955,,,0.2727,0.3659,,,,,,
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,,,0.5472,0.55,,,,,,
RandomForest,TVAE,0.7396,0.7368,0.7396,0.6956,,,0.2674,0.3219,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4583,0.5073,0.4583,0.4764,,,-0.1366,-0.1416,,,,,,
DecisionTree,CTGAN,0.5729,0.6478,0.5729,0.5884,,,0.1525,0.1658,,,,,,
DecisionTree,GaussianCopula,0.5833,0.5756,0.5833,0.5793,,,0.0123,0.0124,,,,,,
DecisionTree,Original,0.7188,0.7638,0.7188,0.7284,,,0.4146,0.4322,,,,,,
DecisionTree,TVAE,0.75,0.7604,0.75,0.7539,,,0.4386,0.4405,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6042,0.5732,0.6042,0.585,,,0.0065,0.0067,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.7083,0.7952,0.7083,0.6062,,,0.0894,0.2164,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.5625,0.5625,0.5625,0.5625,,,-0.0182,-0.0182,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.7083,0.6907,0.7083,0.6942,,,0.268,0.274,,,,,,
RandomForest,Anonymous,0.4479,0.5147,0.4479,0.4681,,,-0.1129,-0.1208,,,,,,
RandomForest,CTGAN,0.5938,0.5348,0.5938,0.5558,,,-0.0722,-0.0773,,,,,,
RandomForest,GaussianCopula,0.7292,0.8057,0.7292,0.6479,,,0.1746,0.3093,,,,,,
RandomForest,Original,0.8021,0.7963,0.8021,0.7967,,,0.5175,0.5217,,,,,,
RandomForest,TVAE,0.7812,0.7785,0.7812,0.7608,,,0.4227,0.4526,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.5,0.5402,0.5,0.5152,,,-0.0667,-0.0684,,,,,,
DecisionTree,CTGAN,0.6875,0.7063,0.6875,0.6943,,,0.3103,0.3133,,,,,,
DecisionTree,GaussianCopula,0.6042,0.5816,0.6042,0.5908,,,0.0256,0.0259,,,,,,
DecisionTree,Original,0.7188,0.7733,0.7188,0.7288,,,0.424,0.4475,,,,,,
DecisionTree,TVAE,0.6771,0.6686,0.6771,0.6722,,,0.2274,0.2281,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6354,0.5795,0.6354,0.5933,,,0.0175,0.0193,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.6316,0.6875,0.5781,,,0.0244,0.059,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.7188,0.7117,0.7188,0.7145,,,0.3271,0.328,,,,,,
RandomForest,Anonymous,0.4479,0.5078,0.4479,0.4677,,,-0.1307,-0.1379,,,,,,
RandomForest,CTGAN,0.6771,0.4704,0.6771,0.5551,,,-0.0206,-0.0692,,,,,,
RandomForest,GaussianCopula,0.7396,0.77,0.7396,0.678,,,0.2337,0.3295,,,,,,
RandomForest,Original,0.8125,0.8078,0.8125,0.8086,,,0.5472,0.55,,,,,,
RandomForest,TVAE,0.75,0.743,0.75,0.7181,,,0.3191,0.3582,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4792,0.5274,0.4792,0.4965,,,-0.0929,-0.0963,,,,,,
DecisionTree,CTGAN,0.4688,0.5063,0.4688,0.484,,,-0.1429,-0.1459,,,,,,
DecisionTree,GaussianCopula,0.6042,0.5894,0.6042,0.5959,,,0.044,0.0442,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.5625,0.4667,0.5625,0.5066,,,-0.1915,-0.2149,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.625,0.5967,0.625,0.6069,,,0.0588,0.0602,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.5521,0.5791,0.5521,0.5629,,,0.0199,0.0202,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6042,0.554,0.6042,0.5712,,,-0.034,-0.036,,,,,,
RandomForest,Anonymous,0.4271,0.4873,0.4271,0.4476,,,-0.1733,-0.183,,,,,,
RandomForest,CTGAN,0.6146,0.5502,0.6146,0.57,,,-0.0386,-0.0426,,,,,,
RandomForest,GaussianCopula,0.7188,0.7176,0.7188,0.6522,,,0.1724,0.2431,,,,,,
RandomForest,Original,0.7917,0.7847,0.7917,0.7846,,,0.4872,0.493,,,,,,
RandomForest,TVAE,0.6771,0.5773,0.6771,0.5724,,,0.004,0.0081,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.4896,0.5338,0.4896,0.5059,,,-0.0799,-0.0823,,,,,,
DecisionTree,CTGAN,0.5729,0.5918,0.5729,0.5809,,,0.0493,0.0496,,,,,,
DecisionTree,GaussianCopula,0.6042,0.5816,0.6042,0.5908,,,0.0256,0.0259,,,,,,
DecisionTree,Original,0.7083,0.7583,0.7083,0.7186,,,0.3978,0.4172,,,,,,
DecisionTree,TVAE,0.6042,0.6185,0.6042,0.6104,,,0.1111,0.1116,,,,,,
KNN,Anonymous,0.6146,0.5808,0.6146,0.5929,,,0.0231,0.0238,,,,,,
KNN,CTGAN,0.6979,0.6652,0.6979,0.6264,,,0.1111,0.1567,,,,,,
KNN,GaussianCopula,0.6771,0.6381,0.6771,0.6397,,,0.1298,0.1431,,,,,,
KNN,Original,0.6146,0.5719,0.6146,0.5861,,,0.0034,0.0035,,,,,,
KNN,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6458,0.5181,0.6458,0.555,,,-0.0543,-0.0812,,,,,,
LogisticRegression,CTGAN,0.6667,0.4681,0.6667,0.55,,,-0.0407,-0.0983,,,,,,
LogisticRegression,GaussianCopula,0.7292,0.7224,0.7292,0.6793,,,0.2296,0.2851,,,,,,
LogisticRegression,Original,0.8229,0.8213,0.8229,0.8129,,,0.5512,0.5674,,,,,,
LogisticRegression,TVAE,0.6979,0.7901,0.6979,0.5838,,,0.0453,0.1522,,,,,,
RandomForest,Anonymous,0.4375,0.501,0.4375,0.4579,,,-0.1429,-0.1518,,,,,,
RandomForest,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7083,0.6972,0.7083,0.6335,,,0.1318,0.1973,,,,,,
RandomForest,Original,0.7917,0.786,0.7917,0.7873,,,0.4969,0.4994,,,,,,
RandomForest,TVAE,0.6771,0.6129,0.6771,0.6007,,,0.0498,0.0702,,,,,,
SVM,Anonymous,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,Original,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
SVM,TVAE,0.6875,0.4727,0.6875,0.5602,,,0.0,0.0,,,,,,
