Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,2
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,2
RandomForest,Anonymous,0.5583,0.5648,0.5583,0.5615,,,-0.0202,-0.0202,3,2
RandomForest,CTGAN,0.6333,0.6195,0.6333,0.6254,,,0.1069,0.1075,3,2
RandomForest,GaussianCopula,0.7,0.6659,0.7,0.6207,,,0.0928,0.1418,3,2
RandomForest,Original,0.7958,0.7897,0.7958,0.7837,,,0.4762,0.4913,3,2
RandomForest,TVAE,0.3917,0.5372,0.3917,0.3855,,,-0.0434,-0.0607,3,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,3
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,3
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,3
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,3
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,3
RandomForest,Anonymous,0.5458,0.5541,0.5458,0.5498,,,-0.0452,-0.0453,3,3
RandomForest,CTGAN,0.625,0.6306,0.625,0.6276,,,0.1338,0.1339,3,3
RandomForest,GaussianCopula,0.6958,0.6533,0.6958,0.6229,,,0.0934,0.1322,3,3
RandomForest,Original,0.7958,0.7887,0.7958,0.7876,,,0.4888,0.4967,3,3
RandomForest,TVAE,0.4333,0.5699,0.4333,0.4384,,,-0.0049,-0.0064,3,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,5
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,5
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,5
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,5
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,5
RandomForest,Anonymous,0.5667,0.5634,0.5667,0.565,,,-0.0236,-0.0236,3,5
RandomForest,CTGAN,0.6083,0.6054,0.6083,0.6068,,,0.0748,0.0748,3,5
RandomForest,GaussianCopula,0.7,0.6644,0.7,0.6256,,,0.1015,0.1471,3,5
RandomForest,Original,0.7958,0.7888,0.7958,0.7863,,,0.4847,0.4946,3,5
RandomForest,TVAE,0.4167,0.5488,0.4167,0.4219,,,-0.0345,-0.0447,3,5
