Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
RandomForest,Anonymous,0.7525,0.7297,0.7525,0.73,,,0.5816,0.5892,0.3,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5853,0.6167,0.5853,0.5981,,,0.3471,0.3494,0.35,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.35,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.35,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7582,0.7391,0.7582,0.741,,,0.5929,0.5986,0.35,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.35,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.6169,0.6495,0.6169,0.6298,,,0.3979,0.4007,0.4,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.4,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.4,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7458,0.7172,0.7458,0.7227,,,0.57,0.577,0.4,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.4,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.5785,0.6246,0.5785,0.5961,,,0.3441,0.3483,0.45,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.45,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.45,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7571,0.7372,0.7571,0.7388,,,0.5907,0.5967,0.45,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.45,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.591,0.6254,0.591,0.603,,,0.3591,0.3628,0.5,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.5,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.5,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7503,0.7278,0.7503,0.7299,,,0.5792,0.5856,0.5,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.5,5.0,2.0,0.1,,
DecisionTree,Anonymous,0.6023,0.6319,0.6023,0.6136,,,0.3744,0.3771,0.55,5.0,2.0,0.1,,
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526,0.55,5.0,2.0,0.1,,
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848,0.55,5.0,2.0,0.1,,
RandomForest,Anonymous,0.7582,0.7397,0.7582,0.7391,,,0.5913,0.5982,0.55,5.0,2.0,0.1,,
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.55,5.0,2.0,0.1,,
