Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6097,0.6341,0.6188,,,0.0832,0.0846,,,,,,
DecisionTree,Original,0.7236,0.7478,0.7236,0.731,,,0.3965,0.4029,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6098,0.5648,0.6098,0.5805,,,-0.0176,-0.0184,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,Original,0.7561,0.7791,0.7561,0.7627,,,0.4675,0.4751,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.626,0.5914,0.626,0.6033,,,0.0404,0.0417,,,,,,
RandomForest,Original,0.813,0.809,0.813,0.8029,,,0.524,0.5381,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.626,0.6037,0.626,0.6124,,,0.07,0.071,,,,,,
DecisionTree,Original,0.6829,0.7381,0.6829,0.6947,,,0.3476,0.3666,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
RandomForest,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6585,0.644,0.6585,0.6497,,,0.1638,0.165,,,,,,
DecisionTree,Original,0.7236,0.7478,0.7236,0.731,,,0.3965,0.4029,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.561,0.6222,0.561,0.5774,,,0.1024,0.1086,,,,,,
DecisionTree,GaussianCopula,0.5691,0.5903,0.5691,0.578,,,0.0398,0.0401,,,,,,
DecisionTree,Original,0.6667,0.7021,0.6667,0.6772,,,0.2868,0.2944,,,,,,
DecisionTree,TVAE,0.7561,0.7561,0.7561,0.7561,,,0.4288,0.4288,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.4959,0.5524,0.4959,0.5144,,,-0.0438,-0.046,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6388,0.6911,0.6032,,,0.0569,0.0936,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6179,0.6551,0.6179,0.63,,,0.1824,0.1873,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6992,0.6627,0.6992,0.6447,,,0.1389,0.1708,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,CTGAN,0.6423,0.6696,0.6423,0.6519,,,0.219,0.2226,,,,,,
RandomForest,GaussianCopula,0.748,0.7363,0.748,0.7186,,,0.3151,0.3471,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5366,0.5332,0.5366,0.5349,,,-0.0932,-0.0933,,,,,,
DecisionTree,GaussianCopula,0.5285,0.566,0.5285,0.5427,,,-0.0157,-0.016,,,,,,
DecisionTree,Original,0.7236,0.7601,0.7236,0.7327,,,0.4125,0.4251,,,,,,
DecisionTree,TVAE,0.6992,0.7215,0.6992,0.7067,,,0.3388,0.3433,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6992,0.6929,0.6992,0.6956,,,0.2798,0.2803,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7398,0.7234,0.7398,0.7163,,,0.3104,0.3307,,,,,,
RandomForest,Anonymous,0.6098,0.5648,0.6098,0.5805,,,-0.0176,-0.0184,,,,,,
RandomForest,CTGAN,0.6911,0.664,0.6911,0.6679,,,0.1944,0.2036,,,,,,
RandomForest,GaussianCopula,0.6667,0.6099,0.6667,0.6142,,,0.0625,0.0734,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7561,0.7443,0.7561,0.7341,,,0.3535,0.3766,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5285,0.5966,0.5285,0.5463,,,0.048,0.0515,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.7154,0.749,0.7154,0.7244,,,0.3912,0.4016,,,,,,
DecisionTree,TVAE,0.7642,0.7626,0.7642,0.7633,,,0.4438,0.4439,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.5772,0.5952,0.5772,0.585,,,0.0513,0.0516,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6667,0.6503,0.6667,0.6563,,,0.1775,0.1792,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6911,0.664,0.6911,0.6679,,,0.1944,0.2036,,,,,,
RandomForest,Anonymous,0.6098,0.5648,0.6098,0.5805,,,-0.0176,-0.0184,,,,,,
RandomForest,CTGAN,0.5854,0.5884,0.5854,0.5868,,,0.036,0.036,,,,,,
RandomForest,GaussianCopula,0.7236,0.7058,0.7236,0.6769,,,0.2157,0.259,,,,,,
RandomForest,Original,0.8374,0.8357,0.8374,0.8296,,,0.5893,0.6021,,,,,,
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6378,0.6504,0.6431,,,0.1504,0.1511,,,,,,
DecisionTree,CTGAN,0.561,0.5673,0.561,0.564,,,-0.0134,-0.0134,,,,,,
DecisionTree,GaussianCopula,0.5366,0.5708,0.5366,0.5499,,,-0.0049,-0.005,,,,,,
DecisionTree,Original,0.7236,0.7478,0.7236,0.731,,,0.3965,0.4029,,,,,,
DecisionTree,TVAE,0.6911,0.6674,0.6911,0.6723,,,0.2073,0.2141,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7073,0.6774,0.7073,0.6579,,,0.1695,0.2036,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.7561,0.7918,0.7561,0.7022,,,0.2827,0.3805,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.5366,0.5332,0.5366,0.5349,,,-0.0932,-0.0933,,,,,,
DecisionTree,GaussianCopula,0.561,0.5973,0.561,0.5742,,,0.0544,0.0556,,,,,,
DecisionTree,Original,0.7398,0.7635,0.7398,0.7468,,,0.432,0.439,,,,,,
DecisionTree,TVAE,0.7398,0.7259,0.7398,0.7071,,,0.287,0.3205,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5853,0.6179,0.5972,,,0.0273,0.028,,,,,,
RandomForest,CTGAN,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
RandomForest,GaussianCopula,0.6992,0.6627,0.6992,0.6447,,,0.1389,0.1708,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7398,0.7751,0.7398,0.6745,,,0.2206,0.3231,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.5447,0.5308,0.5447,0.5373,,,-0.0982,-0.0985,,,,,,
DecisionTree,GaussianCopula,0.4959,0.5406,0.4959,0.5125,,,-0.0714,-0.0736,,,,,,
DecisionTree,Original,0.7317,0.7426,0.7317,0.7359,,,0.3937,0.3954,,,,,,
DecisionTree,TVAE,0.7154,0.6905,0.7154,0.6823,,,0.2267,0.2498,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6341,0.5978,0.6341,0.6094,,,0.0537,0.0558,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7642,0.7592,0.7642,0.7368,,,0.3593,0.3958,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7642,0.8242,0.7642,0.7087,,,0.3002,0.4202,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6179,0.5917,0.6179,0.6018,,,0.0424,0.0431,,,,,,
DecisionTree,CTGAN,0.6179,0.5853,0.6179,0.5972,,,0.0273,0.028,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.7236,0.7478,0.7236,0.731,,,0.3965,0.4029,,,,,,
DecisionTree,TVAE,0.7561,0.7463,0.7561,0.7299,,,0.3427,0.3729,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
RandomForest,CTGAN,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
RandomForest,GaussianCopula,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7317,0.7434,0.7317,0.6685,,,0.2036,0.2851,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.626,0.6037,0.626,0.6124,,,0.07,0.071,,,,,,
DecisionTree,CTGAN,0.5935,0.5534,0.5935,0.5688,,,-0.0431,-0.0445,,,,,,
DecisionTree,GaussianCopula,0.4878,0.5239,0.4878,0.5025,,,-0.1106,-0.1128,,,,,,
DecisionTree,Original,0.7317,0.7528,0.7317,0.7384,,,0.4103,0.4157,,,,,,
DecisionTree,TVAE,0.7398,0.7236,0.7398,0.7204,,,0.3216,0.3368,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.5854,0.548,0.5854,0.5629,,,-0.0555,-0.057,,,,,,
RandomForest,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605,,,,,,
RandomForest,GaussianCopula,0.7317,0.7228,0.7317,0.6831,,,0.232,0.2852,,,,,,
RandomForest,Original,0.813,0.8078,0.813,0.8051,,,0.5314,0.5406,,,,,,
RandomForest,TVAE,0.748,0.7649,0.748,0.6958,,,0.2655,0.3454,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6378,0.6504,0.6431,,,0.1504,0.1511,,,,,,
DecisionTree,CTGAN,0.5772,0.5772,0.5772,0.5772,,,0.0099,0.0099,,,,,,
DecisionTree,GaussianCopula,0.561,0.5794,0.561,0.569,,,0.0148,0.0149,,,,,,
DecisionTree,Original,0.7317,0.7586,0.7317,0.7394,,,0.4182,0.4263,,,,,,
DecisionTree,TVAE,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.626,0.5773,0.626,0.5922,,,0.0088,0.0093,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.6992,0.6621,0.6992,0.6369,,,0.1233,0.1604,,,,,,
RandomForest,Original,0.8374,0.8385,0.8374,0.8275,,,0.5828,0.6019,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.626,0.6037,0.626,0.6124,,,0.07,0.071,,,,,,
