age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
44;*;single;secondary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
48;*;married;tertiary;*;269;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;single;secondary;*;792;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;primary;*;1064;*;*;cellular;*;*;*;*;-1;0;*;no
44;*;married;primary;*;5418;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;single;tertiary;*;7606;*;*;unknown;*;*;*;*;-1;0;*;yes
58;*;married;secondary;*;92;*;*;unknown;*;*;*;*;-1;0;*;no
58;*;divorced;tertiary;*;1533;*;*;unknown;*;*;*;*;-1;0;*;no
41;*;single;secondary;*;-22;*;*;unknown;*;*;*;*;-1;0;*;no
28;*;married;tertiary;*;107;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;single;secondary;*;687;*;*;unknown;*;*;*;*;-1;0;*;no
26;*;single;secondary;*;1275;*;*;unknown;*;*;*;*;-1;0;*;no
47;*;married;secondary;*;926;*;*;cellular;*;*;*;*;403;5;*;yes
34;*;married;secondary;*;29;*;*;cellular;*;*;*;*;-1;0;*;yes
49;*;married;secondary;*;3348;*;*;cellular;*;*;*;*;-1;0;*;no
44;*;married;tertiary;*;368;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;single;primary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;393;*;*;unknown;*;*;*;*;-1;0;*;no
57;*;married;primary;*;473;*;*;unknown;*;*;*;*;-1;0;*;no
31;*;single;secondary;*;199;*;*;unknown;*;*;*;*;-1;0;*;no
50;*;married;unknown;*;413;*;*;unknown;*;*;*;*;-1;0;*;no
46;*;married;primary;*;1114;*;*;unknown;*;*;*;*;-1;0;*;no
65;*;married;secondary;*;3195;*;*;telephone;*;*;*;*;-1;0;*;yes
31;*;single;secondary;*;554;*;*;cellular;*;*;*;*;6;1;*;no
29;*;married;tertiary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
51;*;married;tertiary;*;5108;*;*;cellular;*;*;*;*;102;8;*;no
35;*;married;secondary;*;5250;*;*;cellular;*;*;*;*;146;1;*;no
40;*;divorced;secondary;*;5745;*;*;unknown;*;*;*;*;-1;0;*;no
42;*;married;tertiary;*;2816;*;*;cellular;*;*;*;*;-1;0;*;yes
24;*;single;secondary;*;1719;*;*;cellular;*;*;*;*;-1;0;*;no
59;*;divorced;primary;*;259;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;primary;*;0;*;*;unknown;*;*;*;*;-1;0;*;yes
37;*;married;primary;*;508;*;*;cellular;*;*;*;*;-1;0;*;no
59;*;married;primary;*;935;*;*;cellular;*;*;*;*;166;2;*;no
25;*;married;secondary;*;53;*;*;unknown;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;-556;*;*;cellular;*;*;*;*;-1;0;*;no
75;*;divorced;primary;*;3881;*;*;cellular;*;*;*;*;-1;0;*;yes
39;*;married;secondary;*;425;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;single;tertiary;*;3452;*;*;cellular;*;*;*;*;-1;0;*;no
48;*;married;secondary;*;2083;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;1130;*;*;cellular;*;*;*;*;-1;0;*;no
45;*;married;secondary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
53;*;single;unknown;*;289;*;*;cellular;*;*;*;*;-1;0;*;no
28;*;single;secondary;*;290;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;divorced;secondary;*;2397;*;*;cellular;*;*;*;*;320;2;*;no
35;*;married;tertiary;*;393;*;*;cellular;*;*;*;*;-1;0;*;no
52;*;married;primary;*;4015;*;*;unknown;*;*;*;*;-1;0;*;no
45;*;divorced;primary;*;407;*;*;cellular;*;*;*;*;-1;0;*;no
48;*;married;secondary;*;300;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;4;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;married;tertiary;*;1654;*;*;unknown;*;*;*;*;-1;0;*;no
34;*;divorced;tertiary;*;5754;*;*;cellular;*;*;*;*;181;1;*;no
32;*;single;secondary;*;3201;*;*;cellular;*;*;*;*;178;5;*;no
31;*;single;secondary;*;271;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;single;tertiary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
29;*;married;secondary;*;275;*;*;cellular;*;*;*;*;-1;0;*;no
34;*;single;tertiary;*;84;*;*;cellular;*;*;*;*;-1;0;*;no
41;*;divorced;secondary;*;988;*;*;cellular;*;*;*;*;-1;0;*;no
40;*;married;primary;*;3736;*;*;unknown;*;*;*;*;-1;0;*;no
37;*;married;secondary;*;343;*;*;cellular;*;*;*;*;304;7;*;no
26;*;single;tertiary;*;10086;*;*;cellular;*;*;*;*;78;2;*;no
39;*;single;secondary;*;290;*;*;cellular;*;*;*;*;336;1;*;no
51;*;married;secondary;*;5403;*;*;cellular;*;*;*;*;-1;0;*;no
39;*;married;primary;*;499;*;*;cellular;*;*;*;*;-1;0;*;no
38;*;married;primary;*;4592;*;*;cellular;*;*;*;*;-1;0;*;no
38;*;single;secondary;*;884;*;*;cellular;*;*;*;*;111;2;*;no
37;*;divorced;secondary;*;3068;*;*;cellular;*;*;*;*;195;1;*;yes
30;*;married;primary;*;1015;*;*;cellular;*;*;*;*;-1;0;*;no
61;*;married;secondary;*;3114;*;*;cellular;*;*;*;*;-1;0;*;yes
26;*;single;secondary;*;150;*;*;unknown;*;*;*;*;-1;0;*;no
43;*;married;secondary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
48;*;single;tertiary;*;906;*;*;telephone;*;*;*;*;-1;0;*;no
48;*;married;unknown;*;558;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;married;secondary;*;901;*;*;unknown;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;-215;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;3849;*;*;telephone;*;*;*;*;-1;0;*;no
53;*;married;unknown;*;960;*;*;unknown;*;*;*;*;687;2;*;no
28;*;single;secondary;*;23;*;*;cellular;*;*;*;*;-1;0;*;no
43;*;married;secondary;*;642;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;secondary;*;349;*;*;telephone;*;*;*;*;-1;0;*;no
30;*;married;secondary;*;33;*;*;cellular;*;*;*;*;-1;0;*;no
57;*;married;primary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;single;primary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
37;*;married;secondary;*;83;*;*;cellular;*;*;*;*;363;1;*;no
32;*;married;tertiary;*;2667;*;*;cellular;*;*;*;*;181;4;*;yes
26;*;divorced;secondary;*;1600;*;*;unknown;*;*;*;*;-1;0;*;no
42;*;married;primary;*;2636;*;*;cellular;*;*;*;*;151;1;*;no
32;*;married;secondary;*;130;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;single;secondary;*;539;*;*;cellular;*;*;*;*;477;1;*;yes
35;*;single;tertiary;*;71;*;*;unknown;*;*;*;*;-1;0;*;no
35;*;single;secondary;*;-37;*;*;unknown;*;*;*;*;-1;0;*;no
42;*;married;secondary;*;56;*;*;unknown;*;*;*;*;-1;0;*;no
44;*;divorced;tertiary;*;316;*;*;cellular;*;*;*;*;-1;0;*;no
51;*;married;secondary;*;47;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;divorced;secondary;*;5957;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;married;tertiary;*;785;*;*;cellular;*;*;*;*;-1;0;*;no
40;*;married;tertiary;*;677;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;married;primary;*;265;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;married;secondary;*;5903;*;*;cellular;*;*;*;*;363;1;*;no
33;*;married;secondary;*;372;*;*;unknown;*;*;*;*;-1;0;*;no
36;*;single;secondary;*;1173;*;*;unknown;*;*;*;*;-1;0;*;no
34;*;single;tertiary;*;966;*;*;cellular;*;*;*;*;101;3;*;no
35;*;married;secondary;*;1;*;*;unknown;*;*;*;*;-1;0;*;no
34;*;married;tertiary;*;1433;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;married;tertiary;*;322;*;*;cellular;*;*;*;*;-1;0;*;no
51;*;married;tertiary;*;285;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;tertiary;*;16430;*;*;unknown;*;*;*;*;-1;0;*;no
32;*;married;tertiary;*;937;*;*;cellular;*;*;*;*;94;2;*;no
35;*;single;tertiary;*;0;*;*;telephone;*;*;*;*;-1;0;*;no
39;*;married;secondary;*;804;*;*;unknown;*;*;*;*;-1;0;*;no
54;*;married;primary;*;211;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;1572;*;*;cellular;*;*;*;*;-1;0;*;no
23;*;single;secondary;*;525;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;married;secondary;*;15;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;married;secondary;*;-269;*;*;unknown;*;*;*;*;-1;0;*;no
32;*;single;tertiary;*;392;*;*;cellular;*;*;*;*;-1;0;*;no
60;*;married;secondary;*;1740;*;*;cellular;*;*;*;*;-1;0;*;yes
36;*;married;tertiary;*;-2;*;*;cellular;*;*;*;*;-1;0;*;no
51;*;married;unknown;*;125;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;single;secondary;*;914;*;*;cellular;*;*;*;*;272;1;*;yes
39;*;single;tertiary;*;47;*;*;unknown;*;*;*;*;-1;0;*;no
58;*;married;tertiary;*;4265;*;*;unknown;*;*;*;*;-1;0;*;no
54;*;married;primary;*;258;*;*;telephone;*;*;*;*;88;1;*;no
30;*;single;secondary;*;2568;*;*;cellular;*;*;*;*;100;4;*;yes
54;*;married;primary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
45;*;married;secondary;*;3601;*;*;unknown;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;670;*;*;cellular;*;*;*;*;-1;0;*;no
27;*;single;secondary;*;771;*;*;cellular;*;*;*;*;302;3;*;yes
48;*;divorced;secondary;*;145;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;primary;*;55;*;*;cellular;*;*;*;*;-1;0;*;no
24;*;married;secondary;*;-220;*;*;cellular;*;*;*;*;-1;0;*;no
59;*;married;primary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
48;*;married;primary;*;3644;*;*;telephone;*;*;*;*;-1;0;*;yes
46;*;divorced;secondary;*;1074;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;tertiary;*;477;*;*;cellular;*;*;*;*;-1;0;*;no
40;*;single;secondary;*;178;*;*;cellular;*;*;*;*;-1;0;*;no
34;*;married;unknown;*;164;*;*;cellular;*;*;*;*;-1;0;*;no
58;*;married;primary;*;446;*;*;cellular;*;*;*;*;-1;0;*;no
27;*;married;tertiary;*;1531;*;*;cellular;*;*;*;*;367;4;*;no
30;*;single;secondary;*;799;*;*;unknown;*;*;*;*;-1;0;*;yes
35;*;divorced;secondary;*;-718;*;*;cellular;*;*;*;*;-1;0;*;no
49;*;married;secondary;*;662;*;*;unknown;*;*;*;*;-1;0;*;no
38;*;married;tertiary;*;691;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;single;tertiary;*;1743;*;*;cellular;*;*;*;*;113;2;*;no
36;*;divorced;secondary;*;1089;*;*;telephone;*;*;*;*;175;4;*;no
29;*;single;tertiary;*;-803;*;*;cellular;*;*;*;*;329;9;*;no
46;*;divorced;secondary;*;-1361;*;*;cellular;*;*;*;*;-1;0;*;no
28;*;single;tertiary;*;6817;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;secondary;*;0;*;*;cellular;*;*;*;*;-1;0;*;yes
58;*;married;tertiary;*;2261;*;*;cellular;*;*;*;*;391;1;*;no
30;*;single;primary;*;-10;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;single;tertiary;*;4;*;*;cellular;*;*;*;*;-1;0;*;no
46;*;married;tertiary;*;4301;*;*;cellular;*;*;*;*;183;2;*;no
46;*;married;secondary;*;399;*;*;unknown;*;*;*;*;-1;0;*;no
33;*;married;primary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;single;secondary;*;177;*;*;unknown;*;*;*;*;-1;0;*;no
55;*;married;unknown;*;1665;*;*;telephone;*;*;*;*;-1;0;*;no
44;*;divorced;secondary;*;2416;*;*;unknown;*;*;*;*;-1;0;*;no
57;*;divorced;primary;*;698;*;*;telephone;*;*;*;*;191;2;*;no
35;*;single;secondary;*;424;*;*;cellular;*;*;*;*;-1;0;*;no
29;*;married;secondary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;300;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;secondary;*;126;*;*;cellular;*;*;*;*;-1;0;*;no
53;*;married;secondary;*;1554;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;1535;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;1545;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;tertiary;*;8279;*;*;cellular;*;*;*;*;-1;0;*;no
53;*;married;secondary;*;757;*;*;cellular;*;*;*;*;-1;0;*;no
43;*;divorced;secondary;*;73;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;single;tertiary;*;2204;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;secondary;*;723;*;*;cellular;*;*;*;*;-1;0;*;no
44;*;married;primary;*;93;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;tertiary;*;57;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;married;tertiary;*;1388;*;*;cellular;*;*;*;*;105;1;*;no
23;*;single;secondary;*;567;*;*;cellular;*;*;*;*;-1;0;*;no
43;*;married;secondary;*;10273;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;single;secondary;*;8304;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;single;tertiary;*;41;*;*;cellular;*;*;*;*;-1;0;*;yes
52;*;married;primary;*;273;*;*;cellular;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;2971;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;married;secondary;*;3213;*;*;telephone;*;*;*;*;-1;0;*;no
35;*;married;tertiary;*;2793;*;*;cellular;*;*;*;*;-1;0;*;no
52;*;married;secondary;*;60;*;*;cellular;*;*;*;*;-1;0;*;no
57;*;married;secondary;*;919;*;*;unknown;*;*;*;*;-1;0;*;no
35;*;single;secondary;*;0;*;*;cellular;*;*;*;*;305;1;*;no
71;*;married;tertiary;*;14220;*;*;cellular;*;*;*;*;-1;0;*;yes
33;*;divorced;primary;*;-53;*;*;unknown;*;*;*;*;-1;0;*;no
51;*;married;secondary;*;260;*;*;cellular;*;*;*;*;-1;0;*;no
30;*;married;secondary;*;2583;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;single;primary;*;0;*;*;telephone;*;*;*;*;-1;0;*;no
47;*;married;secondary;*;303;*;*;unknown;*;*;*;*;-1;0;*;no
44;*;married;primary;*;-298;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;divorced;secondary;*;290;*;*;cellular;*;*;*;*;-1;0;*;no
34;*;married;secondary;*;2595;*;*;cellular;*;*;*;*;336;2;*;no
28;*;single;secondary;*;1609;*;*;cellular;*;*;*;*;315;3;*;no
36;*;married;tertiary;*;99;*;*;cellular;*;*;*;*;85;1;*;no
58;*;married;tertiary;*;1326;*;*;cellular;*;*;*;*;-1;0;*;no
43;*;single;primary;*;0;*;*;cellular;*;*;*;*;-1;0;*;yes
28;*;single;secondary;*;1532;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;married;secondary;*;1076;*;*;cellular;*;*;*;*;259;4;*;no
36;*;married;secondary;*;300;*;*;unknown;*;*;*;*;-1;0;*;no
54;*;married;primary;*;95;*;*;cellular;*;*;*;*;-1;0;*;no
60;*;married;secondary;*;90;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;tertiary;*;481;*;*;cellular;*;*;*;*;-1;0;*;no
47;*;married;unknown;*;306;*;*;unknown;*;*;*;*;-1;0;*;no
46;*;married;unknown;*;8;*;*;cellular;*;*;*;*;-1;0;*;no
49;*;married;tertiary;*;8422;*;*;cellular;*;*;*;*;-1;0;*;no
65;*;married;unknown;*;2352;*;*;cellular;*;*;*;*;188;13;*;no
33;*;married;tertiary;*;4958;*;*;unknown;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;905;*;*;cellular;*;*;*;*;-1;0;*;no
32;*;single;tertiary;*;368;*;*;cellular;*;*;*;*;-1;0;*;no
36;*;married;tertiary;*;1179;*;*;cellular;*;*;*;*;-1;0;*;no
34;*;married;tertiary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
38;*;married;secondary;*;-272;*;*;unknown;*;*;*;*;-1;0;*;no
37;*;single;secondary;*;5742;*;*;cellular;*;*;*;*;-1;0;*;no
27;*;single;secondary;*;255;*;*;cellular;*;*;*;*;182;4;*;no
48;*;married;secondary;*;3726;*;*;cellular;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;11;*;*;cellular;*;*;*;*;-1;0;*;no
46;*;married;tertiary;*;-591;*;*;cellular;*;*;*;*;-1;0;*;no
29;*;married;secondary;*;23;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;married;secondary;*;304;*;*;unknown;*;*;*;*;-1;0;*;no
25;*;single;secondary;*;0;*;*;cellular;*;*;*;*;-1;0;*;yes
41;*;married;tertiary;*;3700;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;married;tertiary;*;14282;*;*;cellular;*;*;*;*;103;4;*;no
52;*;married;secondary;*;1500;*;*;unknown;*;*;*;*;-1;0;*;no
47;*;married;secondary;*;328;*;*;cellular;*;*;*;*;-1;0;*;no
28;*;single;secondary;*;29;*;*;cellular;*;*;*;*;-1;0;*;no
53;*;married;secondary;*;768;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;secondary;*;-568;*;*;unknown;*;*;*;*;-1;0;*;no
33;*;married;secondary;*;1072;*;*;unknown;*;*;*;*;-1;0;*;no
28;*;married;secondary;*;147;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;single;secondary;*;783;*;*;unknown;*;*;*;*;-1;0;*;no
26;*;single;secondary;*;136;*;*;cellular;*;*;*;*;-1;0;*;yes
33;*;single;tertiary;*;129;*;*;unknown;*;*;*;*;-1;0;*;no
46;*;married;secondary;*;2948;*;*;cellular;*;*;*;*;-1;0;*;yes
26;*;single;secondary;*;152;*;*;cellular;*;*;*;*;-1;0;*;no
56;*;divorced;tertiary;*;3287;*;*;cellular;*;*;*;*;-1;0;*;yes
45;*;married;primary;*;456;*;*;cellular;*;*;*;*;-1;0;*;no
40;*;divorced;secondary;*;108;*;*;cellular;*;*;*;*;-1;0;*;no
41;*;married;secondary;*;176;*;*;unknown;*;*;*;*;-1;0;*;no
32;*;single;secondary;*;995;*;*;cellular;*;*;*;*;-1;0;*;no
44;*;married;tertiary;*;-199;*;*;telephone;*;*;*;*;-1;0;*;no
53;*;divorced;secondary;*;28;*;*;cellular;*;*;*;*;289;1;*;no
32;*;single;tertiary;*;90;*;*;cellular;*;*;*;*;-1;0;*;no
33;*;married;secondary;*;931;*;*;unknown;*;*;*;*;-1;0;*;no
30;*;married;primary;*;4;*;*;unknown;*;*;*;*;-1;0;*;no
57;*;married;secondary;*;402;*;*;unknown;*;*;*;*;-1;0;*;no
33;*;single;tertiary;*;2637;*;*;cellular;*;*;*;*;-1;0;*;yes
32;*;single;secondary;*;8619;*;*;cellular;*;*;*;*;-1;0;*;no
54;*;married;secondary;*;0;*;*;unknown;*;*;*;*;-1;0;*;no
39;*;married;secondary;*;360;*;*;cellular;*;*;*;*;260;2;*;no
51;*;single;secondary;*;5610;*;*;cellular;*;*;*;*;-1;0;*;no
56;*;married;primary;*;1947;*;*;cellular;*;*;*;*;123;5;*;yes
34;*;single;tertiary;*;99;*;*;cellular;*;*;*;*;-1;0;*;no
49;*;married;tertiary;*;2143;*;*;cellular;*;*;*;*;-1;0;*;no
35;*;married;primary;*;0;*;*;cellular;*;*;*;*;290;2;*;no
41;*;married;primary;*;183;*;*;unknown;*;*;*;*;-1;0;*;no
46;*;single;primary;*;96;*;*;cellular;*;*;*;*;-1;0;*;no
34;*;single;tertiary;*;-6;*;*;cellular;*;*;*;*;-1;0;*;no
51;*;married;primary;*;1080;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;tertiary;*;11528;*;*;unknown;*;*;*;*;-1;0;*;no
47;*;single;primary;*;355;*;*;cellular;*;*;*;*;366;1;*;no
35;*;married;secondary;*;4698;*;*;unknown;*;*;*;*;-1;0;*;no
33;*;married;tertiary;*;215;*;*;cellular;*;*;*;*;-1;0;*;no
49;*;single;secondary;*;3972;*;*;cellular;*;*;*;*;-1;0;*;no
35;*;married;secondary;*;4;*;*;cellular;*;*;*;*;-1;0;*;no
53;*;married;tertiary;*;0;*;*;cellular;*;*;*;*;-1;0;*;no
31;*;married;secondary;*;685;*;*;cellular;*;*;*;*;329;3;*;yes
49;*;divorced;secondary;*;1162;*;*;cellular;*;*;*;*;-1;0;*;no
48;*;married;secondary;*;811;*;*;cellular;*;*;*;*;-1;0;*;no
50;*;married;secondary;*;2;*;*;cellular;*;*;*;*;-1;0;*;no
26;*;married;primary;*;104;*;*;cellular;*;*;*;*;360;2;*;no
59;*;divorced;primary;*;2518;*;*;cellular;*;*;*;*;-1;0;*;yes
52;*;married;secondary;*;33;*;*;cellular;*;*;*;*;331;3;*;no
52;*;married;unknown;*;1708;*;*;unknown;*;*;*;*;75;4;*;yes
24;*;single;primary;*;758;*;*;unknown;*;*;*;*;-1;0;*;no
60;*;married;secondary;*;5207;*;*;cellular;*;*;*;*;-1;0;*;no
42;*;married;tertiary;*;2476;*;*;cellular;*;*;*;*;-1;0;*;no
37;*;married;primary;*;345;*;*;cellular;*;*;*;*;188;2;*;no
33;*;married;tertiary;*;643;*;*;cellular;*;*;*;*;94;1;*;no
46;*;married;secondary;*;-42;*;*;telephone;*;*;*;*;-1;0;*;no
47;*;married;tertiary;*;-50;*;*;cellular;*;*;*;*;-1;0;*;no
47;*;married;secondary;*;0;*;*;telephone;*;*;*;*;-1;0;*;no
52;*;married;tertiary;*;1355;*;*;cellular;*;*;*;*;241;1;*;no
41;*;married;secondary;*;1321;*;*;cellular;*;*;*;*;-1;0;*;no
