Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,test_size,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows
KNN,CTGAN,0.4508,0.4672,0.4508,0.4548,,,0.1315,0.1329,0.3,,,,50.0,44240.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,50.0,44240.0
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.3,,,,50.0,44240.0
LogisticRegression,CTGAN,0.6023,0.5571,0.6023,0.5762,,,0.3309,0.3346,0.3,,,,50.0,44240.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,50.0,44240.0
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.3,,,,50.0,44240.0
RandomForest,CTGAN,0.6181,0.6213,0.6181,0.6179,,,0.3851,0.3865,0.3,,,,50.0,44240.0
RandomForest,GaussianCopula,0.5299,0.4666,0.5299,0.4826,,,0.1742,0.1849,0.3,,,,50.0,44240.0
RandomForest,TVAE,0.6847,0.6779,0.6847,0.6739,,,0.485,0.4912,0.3,,,,50.0,44240.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,50.0,44240.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,50.0,44240.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,44240.0
DecisionTree,CTGAN,0.5469,0.5426,0.5469,0.5433,,,0.2537,0.2545,0.3,,,,50.0,4424.0
DecisionTree,GaussianCopula,0.4056,0.3942,0.4056,0.393,,,0.0243,0.0248,0.3,,,,50.0,4424.0
DecisionTree,TVAE,0.6011,0.6303,0.6011,0.6078,,,0.3736,0.3793,0.3,,,,50.0,4424.0
KNN,CTGAN,0.4802,0.4342,0.4802,0.4504,,,0.1121,0.1148,0.3,,,,50.0,4424.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,50.0,4424.0
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.3,,,,50.0,4424.0
LogisticRegression,CTGAN,0.6667,0.5464,0.6667,0.5996,,,0.4085,0.4343,0.3,,,,50.0,4424.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,50.0,4424.0
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.3,,,,50.0,4424.0
RandomForest,CTGAN,0.696,0.572,0.696,0.6251,,,0.4561,0.49,0.3,,,,50.0,4424.0
RandomForest,GaussianCopula,0.5492,0.4932,0.5492,0.5036,,,0.2078,0.2211,0.3,,,,50.0,4424.0
RandomForest,TVAE,0.6994,0.6903,0.6994,0.689,,,0.5071,0.5116,0.3,,,,50.0,4424.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,4424.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,50.0,4424.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,4424.0
DecisionTree,CTGAN,0.4994,0.5119,0.4994,0.5049,,,0.1908,0.1912,0.3,,,,50.0,8848.0
DecisionTree,GaussianCopula,0.4056,0.3893,0.4056,0.3929,,,0.0142,0.0145,0.3,,,,50.0,8848.0
DecisionTree,TVAE,0.5989,0.6247,0.5989,0.6057,,,0.3691,0.3734,0.3,,,,50.0,8848.0
KNN,CTGAN,0.5028,0.4417,0.5028,0.4609,,,0.1245,0.1306,0.3,,,,50.0,8848.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,50.0,8848.0
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.3,,,,50.0,8848.0
LogisticRegression,CTGAN,0.6554,0.5927,0.6554,0.5924,,,0.383,0.4116,0.3,,,,50.0,8848.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,50.0,8848.0
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.3,,,,50.0,8848.0
RandomForest,CTGAN,0.6746,0.6448,0.6746,0.6071,,,0.4166,0.4488,0.3,,,,50.0,8848.0
RandomForest,GaussianCopula,0.5333,0.4733,0.5333,0.4723,,,0.1696,0.1892,0.3,,,,50.0,8848.0
RandomForest,TVAE,0.6847,0.6779,0.6847,0.6742,,,0.4838,0.4895,0.3,,,,50.0,8848.0
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,8848.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,50.0,8848.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,8848.0
DecisionTree,CTGAN,0.5322,0.5519,0.5322,0.5392,,,0.2449,0.2463,0.3,,,,50.0,13272.0
DecisionTree,GaussianCopula,0.3808,0.3779,0.3808,0.3778,,,-0.006,-0.006,0.3,,,,50.0,13272.0
DecisionTree,TVAE,0.5955,0.6232,0.5955,0.6018,,,0.3633,0.3687,0.3,,,,50.0,13272.0
KNN,CTGAN,0.5017,0.4612,0.5017,0.4741,,,0.1418,0.1452,0.3,,,,50.0,13272.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,50.0,13272.0
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.3,,,,50.0,13272.0
LogisticRegression,CTGAN,0.6531,0.5979,0.6531,0.6123,,,0.3964,0.41,0.3,,,,50.0,13272.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,50.0,13272.0
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.3,,,,50.0,13272.0
RandomForest,CTGAN,0.6475,0.5946,0.6475,0.6089,,,0.3857,0.3995,0.3,,,,50.0,13272.0
RandomForest,GaussianCopula,0.548,0.49,0.548,0.4839,,,0.1887,0.2137,0.3,,,,50.0,13272.0
RandomForest,TVAE,0.6949,0.6879,0.6949,0.6853,,,0.5012,0.5062,0.3,,,,50.0,13272.0
SVM,CTGAN,0.4893,0.3709,0.4893,0.3806,,,0.0158,0.0243,0.3,,,,50.0,13272.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,50.0,13272.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,13272.0
DecisionTree,CTGAN,0.5333,0.5584,0.5333,0.5405,,,0.2683,0.2714,0.3,,,,50.0,22120.0
DecisionTree,GaussianCopula,0.3695,0.3662,0.3695,0.3668,,,-0.0223,-0.0223,0.3,,,,50.0,22120.0
DecisionTree,TVAE,0.5842,0.6179,0.5842,0.593,,,0.3503,0.3557,0.3,,,,50.0,22120.0
KNN,CTGAN,0.4147,0.4271,0.4147,0.4133,,,0.0722,0.0739,0.3,,,,50.0,22120.0
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.3,,,,50.0,22120.0
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.3,,,,50.0,22120.0
LogisticRegression,CTGAN,0.6294,0.5655,0.6294,0.5923,,,0.3684,0.3755,0.3,,,,50.0,22120.0
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.3,,,,50.0,22120.0
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.3,,,,50.0,22120.0
RandomForest,CTGAN,0.635,0.6061,0.635,0.619,,,0.3921,0.3939,0.3,,,,50.0,22120.0
RandomForest,GaussianCopula,0.5299,0.4713,0.5299,0.4793,,,0.1677,0.1815,0.3,,,,50.0,22120.0
RandomForest,TVAE,0.6915,0.6811,0.6915,0.6798,,,0.4933,0.4983,0.3,,,,50.0,22120.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214,0.3,,,,50.0,22120.0
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0,0.3,,,,50.0,22120.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407,0.3,,,,50.0,22120.0
DecisionTree,CTGAN,0.5718,0.5668,0.5718,0.5685,,,0.3031,0.3036,0.05,,,,50,10000
DecisionTree,GaussianCopula,0.4,0.409,0.4,0.3998,,,0.0395,0.04,0.05,,,,50,10000
DecisionTree,TVAE,0.5887,0.6166,0.5887,0.5949,,,0.3531,0.3585,0.05,,,,50,10000
KNN,CTGAN,0.4847,0.4639,0.4847,0.4669,,,0.1338,0.1359,0.05,,,,50,10000
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156,0.05,,,,50,10000
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076,0.05,,,,50,10000
LogisticRegression,CTGAN,0.6542,0.5802,0.6542,0.5968,,,0.4033,0.4211,0.05,,,,50,10000
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29,0.05,,,,50,10000
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682,0.05,,,,50,10000
RandomForest,CTGAN,0.6508,0.544,0.6508,0.5901,,,0.4009,0.4218,0.05,,,,50,10000
RandomForest,GaussianCopula,0.5243,0.4721,0.5243,0.4852,,,0.176,0.1839,0.05,,,,50,10000
RandomForest,TVAE,0.6915,0.6869,0.6915,0.6835,,,0.4966,0.5011,0.05,,,,50,10000
