run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
bankMarketing_anon_k3_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k3_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k3_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k3_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k3_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k3_l5_sl0.1,,,,,,,,,
bankMarketing_anon_k5_l2_sl0.01,,,,,,,,,
bankMarketing_anon_k5_l2_sl0.05,,,,,,,,,
bankMarketing_anon_k5_l2_sl0.1,,,,,,,,,
bankMarketing_anon_k5_l3_sl0.01,,,,,,,,,
bankMarketing_anon_k5_l3_sl0.05,,,,,,,,,
bankMarketing_anon_k5_l3_sl0.1,,,,,,,,,
bankMarketing_anon_k5_l4_sl0.01,,,,,,,,,
bankMarketing_anon_k5_l4_sl0.05,,,,,,,,,
bankMarketing_anon_k5_l4_sl0.1,,,,,,,,,
bankMarketing_anon_k5_l5_sl0.01,,,,,,,,,
bankMarketing_anon_k5_l5_sl0.05,,,,,,,,,
bankMarketing_anon_k5_l5_sl0.1,,,,,,,,,
bankMarketing_synth_ep10,,,,,,,,,
bankMarketing_synth_ep15,,,,,,,,,
bankMarketing_synth_ep20,,,,,,,,,
bankMarketing_synth_ep25,,,,,,,,,
bankMarketing_synth_ep30,,,,,,,,,
bankMarketing_synth_ep35,,,,,,,,,
bankMarketing_synth_ep40,,,,,,,,,
bankMarketing_synth_ep45,,,,,,,,,
bankMarketing_synth_ep5,,,,,,,,,
bankMarketing_synth_ep50,,,,,,,,,
bankMarketing_synth_rows10x,,,,,,,,,
bankMarketing_synth_rows1x,,,,,,,,,
bankMarketing_synth_rows2x,,,,,,,,,
bankMarketing_synth_rows3x,,,,,,,,,
bankMarketing_synth_rows5x,,,,,,,,,
bankMarketing_testsize_0p05,,,,,,,,,
bankMarketing_testsize_0p1,,,,,,,,,
bankMarketing_testsize_0p15,,,,,,,,,
bankMarketing_testsize_0p2,,,,,,,,,
bankMarketing_testsize_0p25,,,,,,,,,
bankMarketing_testsize_0p3,,,,,,,,,
bankMarketing_testsize_0p35,,,,,,,,,
bankMarketing_testsize_0p4,,,,,,,,,
bankMarketing_testsize_0p45,,,,,,,,,
bankMarketing_testsize_0p5,,,,,,,,,
bankMarketing_testsize_0p55,,,,,,,,,
BatchTotals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs,0 hours 0 minutes 0 secs
