run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
crimeData_anon_k3_l5_sl0.05,,2.0,7.0,,,,,23326.0,
crimeData_anon_k3_l5_sl0.1,,4.0,12.0,,,,,22994.0,
crimeData_anon_k5_l2_sl0.01,,3.0,15.0,,,,,23864.0,
crimeData_anon_k5_l2_sl0.05,,2.0,7.0,,,,,23577.0,
crimeData_anon_k5_l2_sl0.1,,3.0,7.0,,,,,23895.0,
crimeData_anon_k5_l3_sl0.01,,2.0,7.0,,,,,23431.0,
crimeData_anon_k5_l3_sl0.05,,2.0,8.0,,,,,23401.0,
crimeData_anon_k5_l3_sl0.1,,3.0,13.0,,,,,23571.0,
crimeData_anon_k5_l4_sl0.01,,3.0,6.0,,,,,23882.0,
crimeData_anon_k5_l4_sl0.05,,3.0,6.0,,,,,23513.0,
crimeData_anon_k5_l4_sl0.1,,3.0,6.0,,,,,24145.0,
crimeData_anon_k5_l5_sl0.01,25570.0,10.0,13.0,,,,,23004.0,2532.0
crimeData_anon_k5_l5_sl0.05,25125.0,9.0,13.0,,,,,22377.0,2716.0
crimeData_anon_k5_l5_sl0.1,,3.0,14.0,,,,,23769.0,
crimeData_synth_ep10,,2.0,,8819.0,8799.0,2379.0,,45756.0,
crimeData_synth_ep15,,3.0,,8673.0,8653.0,2362.0,,45831.0,
crimeData_synth_ep20,,3.0,,8497.0,8477.0,1935.0,,50538.0,
crimeData_synth_ep25,,2.0,,8135.0,8115.0,2082.0,,46006.0,
crimeData_synth_ep30,,2.0,,8777.0,8756.0,2014.0,,39268.0,
crimeData_synth_ep35,,2.0,,8845.0,8824.0,2270.0,,48750.0,
crimeData_synth_ep40,49761.0,10.0,,8450.0,8433.0,1666.0,,37107.0,4146.0
crimeData_synth_ep45,,3.0,,7773.0,7754.0,1843.0,,40254.0,
crimeData_synth_ep5,,2.0,,8171.0,8151.0,1931.0,,42666.0,
crimeData_synth_ep50,,5.0,,40.0,,,,43828.0,
crimeData_synth_rows10x,,3.0,,31.0,,,,43667.0,
crimeData_synth_rows1x,,2.0,,32.0,,,,43738.0,
crimeData_synth_rows2x,,4.0,,62.0,,,,42792.0,
crimeData_synth_rows3x,,3.0,,29.0,,,,26829.0,
crimeData_synth_rows5x,,2.0,,34.0,,,,43551.0,
crimeData_testsize_0p05,,2.0,7.0,29.0,,,,55998.0,
crimeData_testsize_0p1,,3.0,6.0,29.0,,,,59026.0,
crimeData_testsize_0p15,,2.0,7.0,32.0,,,,44701.0,
crimeData_testsize_0p2,,2.0,7.0,30.0,,,,53998.0,
crimeData_testsize_0p25,,2.0,7.0,32.0,,,,56625.0,
crimeData_testsize_0p3,,2.0,7.0,30.0,,,,55580.0,
crimeData_testsize_0p35,,2.0,7.0,32.0,,,,55191.0,
crimeData_testsize_0p4,53969.0,9.0,12.0,7408.0,7393.0,1485.0,1591.0,40499.0,5981.0
crimeData_testsize_0p45,,2.0,7.0,31.0,,,,56973.0,
crimeData_testsize_0p5,,3.0,6.0,29.0,,,,54863.0,
crimeData_testsize_0p55,,2.0,6.0,29.0,,,,54667.0,
BatchTotals,357408.0,332.0,657.0,84079.0,83355.0,19967.0,1591.0,2933442.0,35449.0
,99 hours 16 minutes 48 secs,0 hours 5 minutes 32 secs,0 hours 10 minutes 57 secs,23 hours 21 minutes 19 secs,23 hours 9 minutes 15 secs,5 hours 32 minutes 47 secs,0 hours 26 minutes 31 secs,814 hours 50 minutes 42 secs,9 hours 50 minutes 49 secs
