run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
studentPerformance_anon_k2_l3_sl0.01,40.0,0.0,,,,,,34.0,0.0
studentPerformance_anon_k2_l3_sl0.05,43.0,0.0,,,,,,36.0,1.0
studentPerformance_anon_k2_l3_sl0.1,4.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k2_l4_sl0.01,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k2_l4_sl0.05,42.0,0.0,,,,,,37.0,1.0
studentPerformance_anon_k2_l4_sl0.1,36.0,0.0,,,,,,34.0,0.0
studentPerformance_anon_k2_l5_sl0.01,39.0,0.0,,,,,,32.0,2.0
studentPerformance_anon_k2_l5_sl0.05,46.0,0.0,,,,,,40.0,1.0
studentPerformance_anon_k2_l5_sl0.1,39.0,0.0,,,,,,34.0,1.0
studentPerformance_anon_k3_l2_sl0.01,7.0,0.0,1.0,,,,,5.0,0.0
studentPerformance_anon_k3_l2_sl0.05,7.0,0.0,1.0,,,,,5.0,0.0
studentPerformance_anon_k3_l2_sl0.1,8.0,1.0,1.0,,,,,5.0,0.0
studentPerformance_anon_k3_l3_sl0.01,36.0,0.0,,,,,,34.0,0.0
studentPerformance_anon_k3_l3_sl0.05,5.0,0.0,,,,,,4.0,0.0
studentPerformance_anon_k3_l3_sl0.1,5.0,0.0,,,,,,3.0,0.0
studentPerformance_anon_k3_l4_sl0.01,46.0,1.0,,,,,,38.0,2.0
studentPerformance_anon_k3_l4_sl0.05,40.0,0.0,,,,,,34.0,1.0
studentPerformance_anon_k3_l4_sl0.1,45.0,1.0,,,,,,39.0,1.0
studentPerformance_anon_k3_l5_sl0.01,46.0,0.0,,,,,,42.0,0.0
studentPerformance_anon_k3_l5_sl0.05,46.0,0.0,,,,,,44.0,1.0
studentPerformance_anon_k3_l5_sl0.1,6.0,0.0,,,,,,4.0,0.0
studentPerformance_anon_k5_l2_sl0.01,7.0,0.0,1.0,,,,,4.0,1.0
studentPerformance_anon_k5_l2_sl0.05,8.0,0.0,1.0,,,,,5.0,0.0
studentPerformance_anon_k5_l2_sl0.1,73.0,0.0,4.0,,,,,68.0,1.0
studentPerformance_anon_k5_l3_sl0.01,42.0,0.0,,,,,,36.0,1.0
studentPerformance_anon_k5_l3_sl0.05,36.0,0.0,,,,,,30.0,1.0
studentPerformance_anon_k5_l3_sl0.1,55.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k5_l4_sl0.01,55.0,0.0,,,,,,51.0,0.0
studentPerformance_anon_k5_l4_sl0.05,54.0,0.0,,,,,,52.0,0.0
studentPerformance_anon_k5_l4_sl0.1,46.0,0.0,,,,,,44.0,0.0
studentPerformance_anon_k5_l5_sl0.01,43.0,0.0,,,,,,38.0,1.0
studentPerformance_anon_k5_l5_sl0.05,38.0,0.0,,,,,,32.0,1.0
studentPerformance_anon_k5_l5_sl0.1,40.0,0.0,,,,,,35.0,1.0
studentPerformance_synth_ep10,591.0,0.0,,422.0,420.0,158.0,,154.0,3.0
studentPerformance_synth_ep15,278.0,0.0,,264.0,263.0,42.0,,9.0,1.0
studentPerformance_synth_ep20,208.0,0.0,,194.0,194.0,41.0,,8.0,1.0
studentPerformance_synth_ep25,559.0,1.0,,401.0,398.0,140.0,,139.0,5.0
studentPerformance_synth_ep30,308.0,0.0,,293.0,293.0,42.0,,10.0,0.0
studentPerformance_synth_ep35,514.0,0.0,,373.0,371.0,134.0,,120.0,1.0
studentPerformance_synth_ep40,518.0,0.0,,409.0,408.0,80.0,,95.0,4.0
studentPerformance_synth_ep45,636.0,0.0,,477.0,475.0,138.0,,140.0,6.0
studentPerformance_synth_ep5,604.0,0.0,,450.0,448.0,123.0,,139.0,3.0
studentPerformance_synth_ep50,379.0,0.0,,366.0,366.0,55.0,,8.0,1.0
studentPerformance_synth_rows10x,162.0,0.0,,4.0,,,,137.0,5.0
studentPerformance_synth_rows1x,460.0,0.0,,346.0,344.0,,,102.0,3.0
studentPerformance_synth_rows2x,455.0,0.0,,330.0,328.0,,,112.0,4.0
studentPerformance_synth_rows3x,461.0,0.0,,307.0,305.0,,,135.0,5.0
studentPerformance_synth_rows5x,160.0,0.0,,6.0,,,,134.0,5.0
studentPerformance_testsize_0p05,23.0,0.0,1.0,2.0,,,,13.0,1.0
studentPerformance_testsize_0p1,167.0,0.0,4.0,4.0,,,,144.0,1.0
studentPerformance_testsize_0p15,193.0,0.0,3.0,5.0,,,,165.0,7.0
studentPerformance_testsize_0p2,492.0,0.0,2.0,350.0,348.0,,,126.0,4.0
studentPerformance_testsize_0p25,199.0,0.0,4.0,6.0,,,,165.0,6.0
studentPerformance_testsize_0p3,365.0,0.0,2.0,342.0,341.0,,,12.0,1.0
studentPerformance_testsize_0p35,167.0,0.0,4.0,4.0,,,,146.0,1.0
studentPerformance_testsize_0p4,494.0,0.0,1.0,306.0,303.0,,,168.0,6.0
studentPerformance_testsize_0p45,391.0,0.0,3.0,365.0,364.0,54.0,57.0,16.0,1.0
studentPerformance_testsize_0p5,217.0,0.0,4.0,6.0,,,,182.0,4.0
studentPerformance_testsize_0p55,461.0,0.0,2.0,340.0,339.0,,,106.0,3.0
BatchTotals,12122.0,7.0,75.0,6372.0,6308.0,1007.0,57.0,5061.0,127.0
,3 hours 22 minutes 2 secs,0 hours 0 minutes 7 secs,0 hours 1 minutes 15 secs,1 hours 46 minutes 12 secs,1 hours 45 minutes 8 secs,0 hours 16 minutes 47 secs,0 hours 0 minutes 57 secs,1 hours 24 minutes 21 secs,0 hours 2 minutes 7 secs
