Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,Original,0.7073,0.7444,0.7073,0.7169,,,0.3779,0.3895,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6016,0.5666,0.6016,0.58,,,-0.0141,-0.0145,,,,,,
RandomForest,Original,0.8455,0.8463,0.8455,0.8372,,,0.6068,0.6231,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,Original,0.7154,0.7555,0.7154,0.7251,,,0.3992,0.4131,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6016,0.5505,0.6016,0.5688,,,-0.0473,-0.0499,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,Original,0.7724,0.7799,0.7724,0.7753,,,0.4819,0.4833,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,Anonymous,0.6016,0.5505,0.6016,0.5688,,,-0.0473,-0.0499,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6153,0.6341,0.6228,,,0.0972,0.0982,,,,,,
DecisionTree,CTGAN,0.5528,0.6241,0.5528,0.5698,,,0.1029,0.111,,,,,,
DecisionTree,GaussianCopula,0.5447,0.5636,0.5447,0.553,,,-0.0217,-0.0218,,,,,,
DecisionTree,Original,0.7398,0.7694,0.7398,0.7477,,,0.4396,0.4497,,,,,,
DecisionTree,TVAE,0.748,0.7358,0.748,0.7374,,,0.3684,0.3747,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.4959,0.5524,0.4959,0.5144,,,-0.0438,-0.046,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6388,0.6911,0.6032,,,0.0569,0.0936,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6179,0.6551,0.6179,0.63,,,0.1824,0.1873,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6992,0.6627,0.6992,0.6447,,,0.1389,0.1708,,,,,,
RandomForest,Anonymous,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
RandomForest,CTGAN,0.626,0.6724,0.626,0.6391,,,0.2155,0.224,,,,,,
RandomForest,GaussianCopula,0.7398,0.7422,0.7398,0.6895,,,0.2486,0.3139,,,,,,
RandomForest,Original,0.8211,0.8174,0.8211,0.8126,,,0.5482,0.5602,,,,,,
RandomForest,TVAE,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.626,0.5977,0.626,0.6081,,,0.0554,0.0566,,,,,,
DecisionTree,GaussianCopula,0.5285,0.566,0.5285,0.5427,,,-0.0157,-0.016,,,,,,
DecisionTree,Original,0.748,0.7742,0.748,0.7552,,,0.4535,0.4623,,,,,,
DecisionTree,TVAE,0.6992,0.7273,0.6992,0.7078,,,0.3477,0.3544,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6992,0.6929,0.6992,0.6956,,,0.2798,0.2803,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7398,0.7234,0.7398,0.7163,,,0.3104,0.3307,,,,,,
RandomForest,Anonymous,0.6016,0.5666,0.6016,0.58,,,-0.0141,-0.0145,,,,,,
RandomForest,CTGAN,0.6504,0.5989,0.6504,0.6097,,,0.0499,0.055,,,,,,
RandomForest,GaussianCopula,0.748,0.7649,0.748,0.6958,,,0.2655,0.3454,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.7724,0.7625,0.7724,0.7614,,,0.425,0.4343,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.5447,0.5817,0.5447,0.5585,,,0.0194,0.0198,,,,,,
DecisionTree,GaussianCopula,0.5203,0.5492,0.5203,0.5323,,,-0.0543,-0.0551,,,,,,
DecisionTree,Original,0.7398,0.7635,0.7398,0.7468,,,0.432,0.439,,,,,,
DecisionTree,TVAE,0.6992,0.7398,0.6992,0.7094,,,0.3648,0.3776,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.626,0.5597,0.626,0.5789,,,-0.025,-0.0279,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6748,0.5966,0.6748,0.5931,,,0.0257,0.0377,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6504,0.5148,0.6504,0.5569,,,-0.0572,-0.0883,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
RandomForest,Anonymous,0.5935,0.5449,0.5935,0.5631,,,-0.06,-0.0628,,,,,,
RandomForest,CTGAN,0.6423,0.5073,0.6423,0.5525,,,-0.0717,-0.105,,,,,,
RandomForest,GaussianCopula,0.7073,0.6783,0.7073,0.6506,,,0.1546,0.1953,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.748,0.7363,0.748,0.7186,,,0.3151,0.3471,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.5203,0.5982,0.5203,0.5383,,,0.0495,0.0541,,,,,,
DecisionTree,GaussianCopula,0.5528,0.5745,0.5528,0.5621,,,0.0035,0.0036,,,,,,
DecisionTree,Original,0.7398,0.7694,0.7398,0.7477,,,0.4396,0.4497,,,,,,
DecisionTree,TVAE,0.7886,0.781,0.7886,0.7809,,,0.4744,0.4807,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.5772,0.5952,0.5772,0.585,,,0.0513,0.0516,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6667,0.6503,0.6667,0.6563,,,0.1775,0.1792,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6911,0.664,0.6911,0.6679,,,0.1944,0.2036,,,,,,
RandomForest,Anonymous,0.6016,0.5666,0.6016,0.58,,,-0.0141,-0.0145,,,,,,
RandomForest,CTGAN,0.561,0.561,0.561,0.561,,,-0.0282,-0.0282,,,,,,
RandomForest,GaussianCopula,0.7317,0.7228,0.7317,0.6831,,,0.232,0.2852,,,,,,
RandomForest,Original,0.813,0.809,0.813,0.8029,,,0.524,0.5381,,,,,,
RandomForest,TVAE,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5285,0.5285,0.5285,0.5285,,,-0.1043,-0.1043,,,,,,
DecisionTree,GaussianCopula,0.5041,0.5455,0.5041,0.5198,,,-0.0611,-0.0627,,,,,,
DecisionTree,Original,0.7317,0.7528,0.7317,0.7384,,,0.4103,0.4157,,,,,,
DecisionTree,TVAE,0.6992,0.6818,0.6992,0.6865,,,0.2461,0.2504,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.5854,0.5302,0.5854,0.5512,,,-0.09,-0.095,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7154,0.7151,0.7154,0.6394,,,0.1395,0.2155,,,,,,
RandomForest,Original,0.8293,0.8276,0.8293,0.82,,,0.5654,0.5806,,,,,,
RandomForest,TVAE,0.7561,0.8197,0.7561,0.6949,,,0.2693,0.3945,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5528,0.5356,0.5528,0.5435,,,-0.0867,-0.0872,,,,,,
DecisionTree,GaussianCopula,0.5203,0.5671,0.5203,0.5366,,,-0.0128,-0.0133,,,,,,
DecisionTree,Original,0.7398,0.7635,0.7398,0.7468,,,0.432,0.439,,,,,,
DecisionTree,TVAE,0.7398,0.7236,0.7398,0.7204,,,0.3216,0.3368,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6341,0.5978,0.6341,0.6094,,,0.0537,0.0558,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7317,0.7149,0.7317,0.6952,,,0.2584,0.293,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.5854,0.5823,0.5854,0.5838,,,0.0218,0.0218,,,,,,
DecisionTree,GaussianCopula,0.5854,0.5943,0.5854,0.5895,,,0.0497,0.0498,,,,,,
DecisionTree,Original,0.7154,0.7699,0.7154,0.726,,,0.4145,0.4372,,,,,,
DecisionTree,TVAE,0.7236,0.7037,0.7236,0.7029,,,0.2792,0.2924,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.5854,0.548,0.5854,0.5629,,,-0.0555,-0.057,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.6829,0.6223,0.6829,0.6082,,,0.0589,0.0824,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6378,0.6504,0.6431,,,0.1504,0.1511,,,,,,
DecisionTree,CTGAN,0.561,0.5545,0.561,0.5576,,,-0.0434,-0.0434,,,,,,
DecisionTree,GaussianCopula,0.5203,0.5552,0.5203,0.5341,,,-0.0401,-0.0409,,,,,,
DecisionTree,Original,0.6829,0.7177,0.6829,0.693,,,0.3216,0.3301,,,,,,
DecisionTree,TVAE,0.7236,0.7026,0.7236,0.6986,,,0.2673,0.2848,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5794,0.6098,0.591,,,0.0144,0.0147,,,,,,
RandomForest,CTGAN,0.7073,0.7944,0.7073,0.6012,,,0.0713,0.1923,,,,,,
RandomForest,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
RandomForest,Original,0.813,0.809,0.813,0.8029,,,0.524,0.5381,,,,,,
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.6179,0.5917,0.6179,0.6018,,,0.0424,0.0431,,,,,,
DecisionTree,GaussianCopula,0.5366,0.5708,0.5366,0.5499,,,-0.0049,-0.005,,,,,,
DecisionTree,Original,0.7154,0.7429,0.7154,0.7236,,,0.383,0.3904,,,,,,
DecisionTree,TVAE,0.7317,0.7142,0.7317,0.7136,,,0.306,0.3182,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5648,0.6098,0.5805,,,-0.0176,-0.0184,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
RandomForest,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
RandomForest,TVAE,0.7317,0.7434,0.7317,0.6685,,,0.2036,0.2851,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
