Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
DecisionTree,CTGAN,0.6016,0.6587,0.6016,0.6164,,,0.1803,0.1902,,,,,,
DecisionTree,GaussianCopula,0.5447,0.5817,0.5447,0.5585,,,0.0194,0.0198,,,,,,
DecisionTree,Original,0.7317,0.7528,0.7317,0.7384,,,0.4103,0.4157,,,,,,
DecisionTree,TVAE,0.7561,0.7561,0.7561,0.7561,,,0.4288,0.4288,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.4959,0.5524,0.4959,0.5144,,,-0.0438,-0.046,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6388,0.6911,0.6032,,,0.0569,0.0936,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6179,0.6551,0.6179,0.63,,,0.1824,0.1873,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6992,0.6627,0.6992,0.6447,,,0.1389,0.1708,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,CTGAN,0.6016,0.6456,0.6016,0.6152,,,0.1588,0.1644,,,,,,
RandomForest,GaussianCopula,0.7398,0.7422,0.7398,0.6895,,,0.2486,0.3139,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7398,0.7422,0.7398,0.6895,,,0.2486,0.3139,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6829,0.4758,0.6829,0.5609,,,-0.0161,-0.0605,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.626,0.6037,0.626,0.6124,,,0.07,0.071,,,,,,
DecisionTree,CTGAN,0.5935,0.5814,0.5935,0.5869,,,0.0195,0.0195,,,,,,
DecisionTree,GaussianCopula,0.5528,0.5685,0.5528,0.5599,,,-0.0105,-0.0105,,,,,,
DecisionTree,Original,0.7317,0.7586,0.7317,0.7394,,,0.4182,0.4263,,,,,,
DecisionTree,TVAE,0.6585,0.7039,0.6585,0.6705,,,0.2837,0.2949,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6992,0.6929,0.6992,0.6956,,,0.2798,0.2803,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7398,0.7234,0.7398,0.7163,,,0.3104,0.3307,,,,,,
RandomForest,Anonymous,0.5935,0.5534,0.5935,0.5688,,,-0.0431,-0.0445,,,,,,
RandomForest,CTGAN,0.6667,0.6162,0.6667,0.6214,,,0.0786,0.0891,,,,,,
RandomForest,GaussianCopula,0.7073,0.6775,0.7073,0.6645,,,0.1839,0.2122,,,,,,
RandomForest,Original,0.8618,0.876,0.8618,0.8504,,,0.6367,0.6721,,,,,,
RandomForest,TVAE,0.7886,0.7815,0.7886,0.7758,,,0.4576,0.4726,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.5122,0.5743,0.5122,0.5305,,,0.0027,0.0029,,,,,,
DecisionTree,GaussianCopula,0.5285,0.56,0.5285,0.5411,,,-0.0294,-0.0299,,,,,,
DecisionTree,Original,0.6667,0.7084,0.6667,0.678,,,0.2962,0.3065,,,,,,
DecisionTree,TVAE,0.7724,0.7693,0.7724,0.7706,,,0.459,0.4593,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.5772,0.5952,0.5772,0.585,,,0.0513,0.0516,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6667,0.6503,0.6667,0.6563,,,0.1775,0.1792,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6911,0.664,0.6911,0.6679,,,0.1944,0.2036,,,,,,
RandomForest,Anonymous,0.5935,0.5534,0.5935,0.5688,,,-0.0431,-0.0445,,,,,,
RandomForest,CTGAN,0.6748,0.6399,0.6748,0.6454,,,0.1381,0.1471,,,,,,
RandomForest,GaussianCopula,0.6829,0.6279,0.6829,0.6173,,,0.0759,0.0988,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.7642,0.7718,0.7642,0.7271,,,0.3369,0.3961,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.561,0.5545,0.561,0.5576,,,-0.0434,-0.0434,,,,,,
DecisionTree,GaussianCopula,0.5854,0.6001,0.5854,0.5919,,,0.063,0.0633,,,,,,
DecisionTree,Original,0.7398,0.7635,0.7398,0.7468,,,0.432,0.439,,,,,,
DecisionTree,TVAE,0.6911,0.6518,0.6911,0.6458,,,0.1386,0.1599,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6016,0.5737,0.6016,0.5849,,,0.0017,0.0017,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.6667,0.5819,0.6667,0.5881,,,0.0106,0.0148,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7317,0.7434,0.7317,0.6685,,,0.2036,0.2851,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
DecisionTree,GaussianCopula,0.5285,0.566,0.5285,0.5427,,,-0.0157,-0.016,,,,,,
DecisionTree,Original,0.6992,0.7334,0.6992,0.7087,,,0.3564,0.3659,,,,,,
DecisionTree,TVAE,0.7642,0.7643,0.7642,0.7322,,,0.3483,0.395,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5784,0.6179,0.592,,,0.0116,0.0121,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.748,0.7838,0.748,0.6886,,,0.2519,0.3527,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5447,0.5575,0.5447,0.5506,,,-0.0361,-0.0362,,,,,,
DecisionTree,GaussianCopula,0.5285,0.56,0.5285,0.5411,,,-0.0294,-0.0299,,,,,,
DecisionTree,Original,0.7154,0.749,0.7154,0.7244,,,0.3912,0.4016,,,,,,
DecisionTree,TVAE,0.7398,0.7244,0.7398,0.724,,,0.3324,0.3434,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6016,0.5737,0.6016,0.5849,,,0.0017,0.0017,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.6992,0.6621,0.6992,0.6369,,,0.1233,0.1604,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.748,0.7649,0.748,0.6958,,,0.2655,0.3454,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.5772,0.5772,0.5772,0.5772,,,0.0099,0.0099,,,,,,
DecisionTree,GaussianCopula,0.5285,0.572,0.5285,0.544,,,-0.0022,-0.0023,,,,,,
DecisionTree,Original,0.6829,0.7177,0.6829,0.693,,,0.3216,0.3301,,,,,,
DecisionTree,TVAE,0.7154,0.6998,0.7154,0.7035,,,0.2869,0.2918,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5724,0.6098,0.586,,,-0.0014,-0.0014,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7154,0.6964,0.7154,0.6565,,,0.1707,0.2221,,,,,,
RandomForest,Original,0.8211,0.8174,0.8211,0.8126,,,0.5482,0.5602,,,,,,
RandomForest,TVAE,0.748,0.7838,0.748,0.6886,,,0.2519,0.3527,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6585,0.644,0.6585,0.6497,,,0.1638,0.165,,,,,,
DecisionTree,CTGAN,0.5447,0.5512,0.5447,0.5478,,,-0.051,-0.051,,,,,,
DecisionTree,GaussianCopula,0.5447,0.5697,0.5447,0.5552,,,-0.0076,-0.0077,,,,,,
DecisionTree,Original,0.6992,0.7467,0.6992,0.71,,,0.3731,0.3896,,,,,,
DecisionTree,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6016,0.5505,0.6016,0.5688,,,-0.0473,-0.0499,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.6992,0.665,0.6992,0.6188,,,0.0903,0.1395,,,,,,
RandomForest,Original,0.8374,0.8385,0.8374,0.8275,,,0.5828,0.6019,,,,,,
RandomForest,TVAE,0.7154,0.6909,0.7154,0.6707,,,0.1997,0.2348,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5854,0.548,0.5854,0.5629,,,-0.0555,-0.057,,,,,,
DecisionTree,GaussianCopula,0.5366,0.5649,0.5366,0.5482,,,-0.0186,-0.0188,,,,,,
DecisionTree,Original,0.7317,0.7586,0.7317,0.7394,,,0.4182,0.4263,,,,,,
DecisionTree,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5648,0.6098,0.5805,,,-0.0176,-0.0184,,,,,,
RandomForest,CTGAN,0.6667,0.4722,0.6667,0.5528,,,-0.0474,-0.1057,,,,,,
RandomForest,GaussianCopula,0.7073,0.6774,0.7073,0.6579,,,0.1695,0.2036,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
