62;60-64;60-69;60-79;*
63;60-64;60-69;60-79;*
64;60-64;60-69;60-79;*
65;65-69;60-69;60-79;*
66;65-69;60-69;60-79;*
67;65-69;60-69;60-79;*
68;65-69;60-69;60-79;*
69;65-69;60-69;60-79;*
70;70-74;70-79;60-79;*
71;70-74;70-79;60-79;*
72;70-74;70-79;60-79;*
73;70-74;70-79;60-79;*
74;70-74;70-79;60-79;*
75;75-79;70-79;60-79;*
76;75-79;70-79;60-79;*
77;75-79;70-79;60-79;*
78;75-79;70-79;60-79;*
79;75-79;70-79;60-79;*
80;80-84;80-89;80-99;*
81;80-84;80-89;80-99;*
82;80-84;80-89;80-99;*
83;80-84;80-89;80-99;*
84;80-84;80-89;80-99;*
85;85-89;80-89;80-99;*
86;85-89;80-89;80-99;*
87;85-89;80-89;80-99;*
88;85-89;80-89;80-99;*
89;85-89;80-89;80-99;*
90;90-94;90-99;80-99;*
91;90-94;90-99;80-99;*
92;90-94;90-99;80-99;*
93;90-94;90-99;80-99;*
94;90-94;90-99;80-99;*
95;95-99;90-99;80-99;*
96;95-99;90-99;80-99;*
97;95-99;90-99;80-99;*
98;95-99;90-99;80-99;*
99;95-99;90-99;80-99;*
100;100-109;100-119;100-149;*
101;100-109;100-119;100-149;*
102;100-109;100-119;100-149;*
103;100-109;100-119;100-149;*
104;100-109;100-119;100-149;*
105;100-109;100-119;100-149;*
106;100-109;100-119;100-149;*
107;100-109;100-119;100-149;*
108;100-109;100-119;100-149;*
109;100-109;100-119;100-149;*
110;110-119;100-119;100-149;*
111;110-119;100-119;100-149;*
112;110-119;100-119;100-149;*
113;110-119;100-119;100-149;*
114;110-119;100-119;100-149;*
115;110-119;100-119;100-149;*
116;110-119;100-119;100-149;*
117;110-119;100-119;100-149;*
118;110-119;100-119;100-149;*
119;110-119;100-119;100-149;*
120;120-129;120-139;100-149;*
121;120-129;120-139;100-149;*
122;120-129;120-139;100-149;*
123;120-129;120-139;100-149;*
124;120-129;120-139;100-149;*
125;120-129;120-139;100-149;*
126;120-129;120-139;100-149;*
127;120-129;120-139;100-149;*
128;120-129;120-139;100-149;*
129;120-129;120-139;100-149;*
130;130-139;120-139;100-149;*
131;130-139;120-139;100-149;*
132;130-139;120-139;100-149;*
133;130-139;120-139;100-149;*
134;130-139;120-139;100-149;*
135;130-139;120-139;100-149;*
136;130-139;120-139;100-149;*
137;130-139;120-139;100-149;*
138;130-139;120-139;100-149;*
139;130-139;120-139;100-149;*
140;140-149;140-159;140-199;*
141;140-149;140-159;140-199;*
142;140-149;140-159;140-199;*
143;140-149;140-159;140-199;*
144;140-149;140-159;140-199;*
145;140-149;140-159;140-199;*
146;140-149;140-159;140-199;*
147;140-149;140-159;140-199;*
148;140-149;140-159;140-199;*
149;140-149;140-159;140-199;*
150;150-159;140-159;140-199;*
151;150-159;140-159;140-199;*
152;150-159;140-159;140-199;*
153;150-159;140-159;140-199;*
154;150-159;140-159;140-199;*
155;150-159;140-159;140-199;*
156;150-159;140-159;140-199;*
157;150-159;140-159;140-199;*
158;150-159;140-159;140-199;*
159;150-159;140-159;140-199;*
160;160-169;160-179;140-199;*
161;160-169;160-179;140-199;*
162;160-169;160-179;140-199;*
163;160-169;160-179;140-199;*
164;160-169;160-179;140-199;*
165;160-169;160-179;140-199;*
166;160-169;160-179;140-199;*
167;160-169;160-179;140-199;*
168;160-169;160-179;140-199;*
169;160-169;160-179;140-199;*
170;170-179;160-179;140-199;*
171;170-179;160-179;140-199;*
172;170-179;160-179;140-199;*
173;170-179;160-179;140-199;*
174;170-179;160-179;140-199;*
175;170-179;160-179;140-199;*
176;170-179;160-179;140-199;*
177;170-179;160-179;140-199;*
178;170-179;160-179;140-199;*
179;170-179;160-179;140-199;*
180;180-189;180-199;140-199;*
181;180-189;180-199;140-199;*
182;180-189;180-199;140-199;*
183;180-189;180-199;140-199;*
184;180-189;180-199;140-199;*
185;180-189;180-199;140-199;*
186;180-189;180-199;140-199;*
187;180-189;180-199;140-199;*
188;180-189;180-199;140-199;*
189;180-189;180-199;140-199;*
190;190-199;180-199;140-199;*
191;190-199;180-199;140-199;*
192;190-199;180-199;140-199;*
193;190-199;180-199;140-199;*
194;190-199;180-199;140-199;*
195;190-199;180-199;140-199;*
196;190-199;180-199;140-199;*
197;190-199;180-199;140-199;*
198;190-199;180-199;140-199;*
199;190-199;180-199;140-199;*
