Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,epochs,k_anonymity
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,2
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,2
RandomForest,Anonymous,0.5458,0.5541,0.5458,0.5498,,,-0.0452,-0.0453,3,2
RandomForest,CTGAN,0.5625,0.5768,0.5625,0.5689,,,0.0077,0.0077,3,2
RandomForest,GaussianCopula,0.7042,0.6855,0.7042,0.6181,,,0.0923,0.1557,3,2
RandomForest,Original,0.8125,0.8103,0.8125,0.8,,,0.515,0.5348,3,2
RandomForest,TVAE,0.3833,0.559,0.3833,0.3563,,,-0.0132,-0.0212,3,2
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,3
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,3
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,3
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,3
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,3
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,3
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,3
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,3
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,3
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,3
RandomForest,Anonymous,0.55,0.5533,0.55,0.5516,,,-0.0472,-0.0472,3,3
RandomForest,CTGAN,0.5917,0.5977,0.5917,0.5945,,,0.0568,0.0568,3,3
RandomForest,GaussianCopula,0.7167,0.7091,0.7167,0.6464,,,0.1514,0.2194,3,3
RandomForest,Original,0.8125,0.8103,0.8125,0.8,,,0.515,0.5348,3,3
RandomForest,TVAE,0.4042,0.5531,0.4042,0.3991,,,-0.0247,-0.0344,3,3
KNN,Anonymous,0.6542,0.5966,0.6542,0.6069,,,0.0421,0.0478,3,5
KNN,CTGAN,0.575,0.6026,0.575,0.5859,,,0.0665,0.0674,3,5
KNN,GaussianCopula,0.6583,0.5972,0.6583,0.606,,,0.0409,0.0477,3,5
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,3,5
KNN,TVAE,0.6875,0.5814,0.6875,0.571,,,0.002,0.0061,3,5
LogisticRegression,Anonymous,0.6542,0.5882,0.6542,0.5993,,,0.0249,0.0293,3,5
LogisticRegression,CTGAN,0.6542,0.5569,0.6542,0.5765,,,-0.0211,-0.0287,3,5
LogisticRegression,GaussianCopula,0.7125,0.7166,0.7125,0.6289,,,0.1178,0.1988,3,5
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,3,5
LogisticRegression,TVAE,0.5083,0.5629,0.5083,0.5262,,,-0.0225,-0.0236,3,5
RandomForest,Anonymous,0.5542,0.5655,0.5542,0.5594,,,-0.0186,-0.0186,3,5
RandomForest,CTGAN,0.5542,0.5841,0.5542,0.566,,,0.0242,0.0245,3,5
RandomForest,GaussianCopula,0.6917,0.6446,0.6917,0.6247,,,0.0939,0.1251,3,5
RandomForest,Original,0.8042,0.8004,0.8042,0.7911,,,0.4934,0.5124,3,5
RandomForest,TVAE,0.4125,0.5566,0.4125,0.4116,,,-0.0216,-0.0293,3,5
