Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,k_anonymity,l_diversity,suppression_limit,epochs,custom_generated_rows,test_size
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.5528,0.5496,0.5528,0.5512,,,-0.0549,-0.0549,,,,,,
DecisionTree,GaussianCopula,0.561,0.5734,0.561,0.5667,,,0.0009,0.0009,,,,,,
DecisionTree,Original,0.6992,0.7273,0.6992,0.7078,,,0.3477,0.3544,,,,,,
DecisionTree,TVAE,0.6179,0.6816,0.6179,0.6323,,,0.2237,0.2385,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6016,0.559,0.6016,0.5747,,,-0.0304,-0.0316,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6992,0.6929,0.6992,0.6956,,,0.2798,0.2803,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7398,0.7234,0.7398,0.7163,,,0.3104,0.3307,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,CTGAN,0.6748,0.626,0.6748,0.6272,,,0.0933,0.1076,,,,,,
RandomForest,GaussianCopula,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7642,0.7539,0.7642,0.7448,,,0.3802,0.4014,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5447,0.6194,0.5447,0.5619,,,0.0923,0.1001,,,,,,
DecisionTree,GaussianCopula,0.5854,0.606,0.5854,0.5939,,,0.076,0.0766,,,,,,
DecisionTree,Original,0.7154,0.749,0.7154,0.7244,,,0.3912,0.4016,,,,,,
DecisionTree,TVAE,0.7642,0.7596,0.7642,0.7614,,,0.4355,0.4363,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.5772,0.5952,0.5772,0.585,,,0.0513,0.0516,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6667,0.6503,0.6667,0.6563,,,0.1775,0.1792,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.6911,0.664,0.6911,0.6679,,,0.1944,0.2036,,,,,,
RandomForest,Anonymous,0.5935,0.5449,0.5935,0.5631,,,-0.06,-0.0628,,,,,,
RandomForest,CTGAN,0.6341,0.6208,0.6341,0.6265,,,0.1108,0.1114,,,,,,
RandomForest,GaussianCopula,0.7317,0.7228,0.7317,0.6831,,,0.232,0.2852,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.7561,0.7742,0.7561,0.7089,,,0.2955,0.3732,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6214,0.6423,0.6293,,,0.1105,0.1119,,,,,,
DecisionTree,CTGAN,0.5528,0.5428,0.5528,0.5475,,,-0.0706,-0.0707,,,,,,
DecisionTree,GaussianCopula,0.561,0.5913,0.561,0.5728,,,0.0416,0.0422,,,,,,
DecisionTree,Original,0.7073,0.7444,0.7073,0.7169,,,0.3779,0.3895,,,,,,
DecisionTree,TVAE,0.6585,0.6488,0.6585,0.653,,,0.1763,0.1769,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5917,0.6179,0.6018,,,0.0424,0.0431,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.6911,0.6463,0.6911,0.6312,,,0.1077,0.136,,,,,,
RandomForest,Original,0.8455,0.8501,0.8455,0.8351,,,0.6004,0.6242,,,,,,
RandomForest,TVAE,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6378,0.6504,0.6431,,,0.1504,0.1511,,,,,,
DecisionTree,CTGAN,0.6098,0.586,0.6098,0.5956,,,0.0296,0.03,,,,,,
DecisionTree,GaussianCopula,0.5528,0.5805,0.5528,0.564,,,0.0171,0.0174,,,,,,
DecisionTree,Original,0.7154,0.7555,0.7154,0.7251,,,0.3992,0.4131,,,,,,
DecisionTree,TVAE,0.6504,0.6378,0.6504,0.6431,,,0.1504,0.1511,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5709,0.6179,0.5864,,,-0.0045,-0.0048,,,,,,
RandomForest,CTGAN,0.6829,0.581,0.6829,0.5747,,,0.0037,0.0083,,,,,,
RandomForest,GaussianCopula,0.748,0.7528,0.748,0.7024,,,0.2785,0.3425,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.748,0.7838,0.748,0.6886,,,0.2519,0.3527,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6341,0.6153,0.6341,0.6228,,,0.0972,0.0982,,,,,,
DecisionTree,CTGAN,0.561,0.5405,0.561,0.5496,,,-0.0751,-0.0756,,,,,,
DecisionTree,GaussianCopula,0.5366,0.5649,0.5366,0.5482,,,-0.0186,-0.0188,,,,,,
DecisionTree,Original,0.7317,0.7586,0.7317,0.7394,,,0.4182,0.4263,,,,,,
DecisionTree,TVAE,0.7236,0.7022,0.7236,0.6888,,,0.2424,0.2708,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.561,0.5328,0.561,0.545,,,-0.0917,-0.0929,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.7561,0.7548,0.7561,0.7204,,,0.3199,0.3691,,,,,,
RandomForest,Original,0.8374,0.8427,0.8374,0.8252,,,0.576,0.6032,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.5528,0.5496,0.5528,0.5512,,,-0.0549,-0.0549,,,,,,
DecisionTree,GaussianCopula,0.5691,0.5843,0.5691,0.5759,,,0.0263,0.0264,,,,,,
DecisionTree,Original,0.6911,0.7287,0.6911,0.7012,,,0.3434,0.3539,,,,,,
DecisionTree,TVAE,0.6911,0.6709,0.6911,0.6762,,,0.2197,0.2245,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6179,0.5784,0.6179,0.592,,,0.0116,0.0121,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7317,0.7306,0.7317,0.6762,,,0.2181,0.2837,,,,,,
RandomForest,Original,0.813,0.809,0.813,0.8029,,,0.524,0.5381,,,,,,
RandomForest,TVAE,0.7236,0.7102,0.7236,0.67,,,0.2016,0.2546,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6504,0.6328,0.6504,0.6396,,,0.1373,0.1387,,,,,,
DecisionTree,CTGAN,0.5528,0.5428,0.5528,0.5475,,,-0.0706,-0.0707,,,,,,
DecisionTree,GaussianCopula,0.5528,0.5745,0.5528,0.5621,,,0.0035,0.0036,,,,,,
DecisionTree,Original,0.7236,0.7601,0.7236,0.7327,,,0.4125,0.4251,,,,,,
DecisionTree,TVAE,0.7073,0.6784,0.7073,0.6705,,,0.1978,0.221,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6098,0.5794,0.6098,0.591,,,0.0144,0.0147,,,,,,
RandomForest,CTGAN,0.7073,0.7944,0.7073,0.6012,,,0.0713,0.1923,,,,,,
RandomForest,GaussianCopula,0.6911,0.6437,0.6911,0.6228,,,0.0914,0.123,,,,,,
RandomForest,Original,0.8374,0.8385,0.8374,0.8275,,,0.5828,0.6019,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6423,0.6267,0.6423,0.633,,,0.124,0.1249,,,,,,
DecisionTree,CTGAN,0.6341,0.6097,0.6341,0.6188,,,0.0832,0.0846,,,,,,
DecisionTree,GaussianCopula,0.5203,0.5671,0.5203,0.5366,,,-0.0128,-0.0133,,,,,,
DecisionTree,Original,0.6911,0.7165,0.6911,0.6994,,,0.3255,0.3308,,,,,,
DecisionTree,TVAE,0.748,0.7336,0.748,0.7309,,,0.3481,0.3619,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.5935,0.5611,0.5935,0.574,,,-0.0267,-0.0273,,,,,,
RandomForest,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
RandomForest,GaussianCopula,0.6911,0.6412,0.6911,0.6135,,,0.0745,0.1091,,,,,,
RandomForest,Original,0.8293,0.8307,0.8293,0.8177,,,0.5584,0.5805,,,,,,
RandomForest,TVAE,0.7561,0.8197,0.7561,0.6949,,,0.2693,0.3945,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
DecisionTree,Anonymous,0.6585,0.644,0.6585,0.6497,,,0.1638,0.165,,,,,,
DecisionTree,CTGAN,0.5772,0.5428,0.5772,0.557,,,-0.0678,-0.0693,,,,,,
DecisionTree,GaussianCopula,0.5528,0.5685,0.5528,0.5599,,,-0.0105,-0.0105,,,,,,
DecisionTree,Original,0.7642,0.7899,0.7642,0.771,,,0.4887,0.4982,,,,,,
DecisionTree,TVAE,0.6992,0.67,0.6992,0.6695,,,0.1961,0.211,,,,,,
KNN,Anonymous,0.6423,0.5912,0.6423,0.6039,,,0.036,0.0392,,,,,,
KNN,CTGAN,0.6748,0.6067,0.6748,0.6029,,,0.0435,0.0586,,,,,,
KNN,GaussianCopula,0.6992,0.6639,0.6992,0.6518,,,0.1539,0.181,,,,,,
KNN,Original,0.6504,0.6226,0.6504,0.6314,,,0.11,0.113,,,,,,
KNN,TVAE,0.6911,0.6342,0.6911,0.579,,,0.0197,0.0532,,,,,,
LogisticRegression,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
LogisticRegression,CTGAN,0.6748,0.6309,0.6748,0.6338,,,0.1087,0.1214,,,,,,
LogisticRegression,GaussianCopula,0.7236,0.7033,0.7236,0.6831,,,0.2293,0.2645,,,,,,
LogisticRegression,Original,0.8537,0.8626,0.8537,0.8427,,,0.6184,0.6476,,,,,,
LogisticRegression,TVAE,0.7073,0.6893,0.7073,0.6933,,,0.2608,0.2664,,,,,,
RandomForest,Anonymous,0.6016,0.5666,0.6016,0.58,,,-0.0141,-0.0145,,,,,,
RandomForest,CTGAN,0.6992,0.7904,0.6992,0.5834,,,0.036,0.1354,,,,,,
RandomForest,GaussianCopula,0.7398,0.7422,0.7398,0.6895,,,0.2486,0.3139,,,,,,
RandomForest,Original,0.8211,0.8195,0.8211,0.8103,,,0.541,0.5588,,,,,,
RandomForest,TVAE,0.7398,0.7547,0.7398,0.6824,,,0.2348,0.3162,,,,,,
SVM,Anonymous,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,CTGAN,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,GaussianCopula,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,Original,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
SVM,TVAE,0.6911,0.4776,0.6911,0.5648,,,0.0,0.0,,,,,,
