run_name,total_sec,preprocessing_sec,anonymization_sec,synthesis_sec,ctgan_sec,tvae_sec,gaussian_sec,train_sec,evaluation_sec
loan_anon_k15_l5_sl0.05,54.0,0.0,4.0,,,,,48.0,1.0
loan_anon_k15_l5_sl0.1,63.0,0.0,4.0,,,,,57.0,0.0
loan_anon_k20_l2_sl0.01,57.0,0.0,4.0,,,,,52.0,0.0
loan_anon_k20_l2_sl0.05,3.0,0.0,2.0,,,,,1.0,0.0
loan_anon_k20_l2_sl0.1,62.0,0.0,4.0,,,,,56.0,0.0
loan_anon_k20_l3_sl0.01,56.0,0.0,4.0,,,,,50.0,0.0
loan_anon_k20_l3_sl0.05,59.0,0.0,4.0,,,,,52.0,1.0
loan_anon_k20_l3_sl0.1,56.0,0.0,3.0,,,,,52.0,0.0
loan_anon_k20_l4_sl0.01,60.0,0.0,3.0,,,,,53.0,1.0
loan_anon_k20_l4_sl0.05,,,,,,,,,
loan_anon_k20_l4_sl0.1,56.0,0.0,4.0,,,,,49.0,1.0
loan_anon_k20_l5_sl0.01,60.0,0.0,4.0,,,,,54.0,0.0
loan_anon_k20_l5_sl0.05,25.0,0.0,3.0,,,,,22.0,0.0
loan_anon_k20_l5_sl0.1,,,,,,,,,
loan_anon_k2_l2_sl0.01,54.0,0.0,3.0,,,,,49.0,0.0
loan_anon_k2_l2_sl0.05,58.0,0.0,2.0,,,,,54.0,1.0
loan_anon_k2_l2_sl0.1,62.0,0.0,2.0,,,,,57.0,0.0
loan_anon_k2_l3_sl0.01,69.0,0.0,4.0,,,,,62.0,1.0
loan_anon_k2_l3_sl0.05,61.0,0.0,3.0,,,,,57.0,0.0
loan_anon_k2_l3_sl0.1,58.0,0.0,3.0,,,,,53.0,1.0
loan_anon_k2_l4_sl0.01,4.0,0.0,2.0,,,,,1.0,0.0
loan_anon_k2_l4_sl0.05,20.0,0.0,2.0,,,,,16.0,1.0
loan_anon_k2_l4_sl0.1,61.0,0.0,4.0,,,,,56.0,0.0
loan_anon_k2_l5_sl0.01,62.0,0.0,3.0,,,,,58.0,1.0
loan_anon_k2_l5_sl0.05,69.0,0.0,4.0,,,,,64.0,0.0
loan_anon_k2_l5_sl0.1,3.0,0.0,1.0,,,,,1.0,0.0
loan_anon_k3_l2_sl0.01,67.0,0.0,4.0,,,,,60.0,1.0
loan_anon_k3_l2_sl0.05,61.0,0.0,3.0,,,,,55.0,1.0
loan_anon_k3_l2_sl0.1,68.0,0.0,3.0,,,,,62.0,0.0
loan_anon_k3_l3_sl0.01,41.0,0.0,2.0,,,,,38.0,0.0
loan_anon_k3_l3_sl0.05,56.0,0.0,2.0,,,,,52.0,1.0
loan_anon_k3_l3_sl0.1,69.0,0.0,4.0,,,,,62.0,1.0
loan_anon_k3_l4_sl0.01,71.0,0.0,4.0,,,,,65.0,0.0
loan_anon_k3_l4_sl0.05,62.0,0.0,4.0,,,,,56.0,0.0
loan_anon_k3_l4_sl0.1,3.0,0.0,1.0,,,,,1.0,0.0
loan_anon_k3_l5_sl0.01,71.0,0.0,4.0,,,,,64.0,1.0
loan_anon_k3_l5_sl0.05,68.0,0.0,3.0,,,,,63.0,0.0
loan_anon_k3_l5_sl0.1,66.0,0.0,3.0,,,,,60.0,1.0
loan_anon_k5_l2_sl0.01,49.0,0.0,2.0,,,,,45.0,0.0
loan_anon_k5_l2_sl0.05,67.0,0.0,4.0,,,,,60.0,1.0
loan_anon_k5_l2_sl0.1,55.0,0.0,2.0,,,,,52.0,0.0
loan_anon_k5_l3_sl0.01,27.0,0.0,3.0,,,,,23.0,0.0
loan_anon_k5_l3_sl0.05,62.0,0.0,3.0,,,,,58.0,1.0
loan_anon_k5_l3_sl0.1,63.0,0.0,3.0,,,,,58.0,0.0
loan_anon_k5_l4_sl0.01,14.0,0.0,1.0,,,,,11.0,1.0
loan_anon_k5_l4_sl0.05,4.0,0.0,2.0,,,,,1.0,0.0
loan_anon_k5_l4_sl0.1,69.0,0.0,4.0,,,,,64.0,1.0
loan_anon_k5_l5_sl0.01,65.0,0.0,3.0,,,,,61.0,1.0
loan_anon_k5_l5_sl0.05,66.0,0.0,4.0,,,,,60.0,1.0
loan_anon_k5_l5_sl0.1,68.0,0.0,3.0,,,,,64.0,1.0
loan_synth_ep10,181.0,0.0,,46.0,45.0,13.0,,126.0,2.0
loan_synth_ep15,30.0,0.0,,26.0,25.0,6.0,,1.0,0.0
loan_synth_ep20,114.0,0.0,,40.0,40.0,11.0,,62.0,0.0
loan_synth_ep25,182.0,0.0,,42.0,41.0,12.0,,128.0,2.0
loan_synth_ep30,177.0,0.0,,42.0,42.0,10.0,,125.0,2.0
loan_synth_ep35,180.0,0.0,,37.0,37.0,10.0,,135.0,2.0
loan_synth_ep40,125.0,0.0,,43.0,42.0,11.0,,75.0,1.0
loan_synth_ep45,152.0,0.0,,34.0,34.0,11.0,,109.0,1.0
loan_synth_ep5,175.0,0.0,,45.0,44.0,10.0,,121.0,2.0
loan_synth_ep50,124.0,0.0,,42.0,42.0,10.0,,76.0,1.0
loan_synth_rows10x,125.0,1.0,,2.0,,,,112.0,2.0
loan_synth_rows1x,126.0,0.0,,3.0,,,,114.0,1.0
loan_synth_rows2x,116.0,0.0,,2.0,,,,103.0,1.0
loan_synth_rows3x,125.0,0.0,,2.0,,,,114.0,1.0
loan_synth_rows5x,141.0,0.0,,2.0,,,,129.0,1.0
loan_testsize_0p05,24.0,0.0,4.0,2.0,,,,13.0,1.0
loan_testsize_0p1,120.0,0.0,3.0,36.0,35.0,9.0,12.0,73.0,1.0
loan_testsize_0p15,150.0,0.0,4.0,3.0,,,,133.0,1.0
loan_testsize_0p2,160.0,0.0,3.0,2.0,,,,145.0,1.0
loan_testsize_0p25,147.0,0.0,4.0,2.0,,,,128.0,2.0
loan_testsize_0p3,84.0,0.0,4.0,1.0,,,,73.0,0.0
loan_testsize_0p35,150.0,0.0,4.0,1.0,,,,133.0,2.0
loan_testsize_0p4,151.0,0.0,2.0,1.0,,,,142.0,1.0
loan_testsize_0p45,150.0,0.0,4.0,2.0,,,,137.0,1.0
loan_testsize_0p5,69.0,0.0,4.0,1.0,,,,53.0,1.0
loan_testsize_0p55,140.0,0.0,2.0,1.0,,,,130.0,1.0
BatchTotals,7048.0,3.0,255.0,460.0,427.0,113.0,12.0,5967.0,64.0
,1 hours 57 minutes 28 secs,0 hours 0 minutes 3 secs,0 hours 4 minutes 15 secs,0 hours 7 minutes 40 secs,0 hours 7 minutes 7 secs,0 hours 1 minutes 53 secs,0 hours 0 minutes 12 secs,1 hours 39 minutes 27 secs,0 hours 1 minutes 4 secs
