Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,custom_generated_rows
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,2000
LogisticRegression,TVAE,0.4833,0.5477,0.4833,0.5029,,,-0.0535,-0.0569,2000
RandomForest,CTGAN,0.4167,0.5643,0.4167,0.4148,,,-0.0116,-0.0158,2000
RandomForest,GaussianCopula,0.6792,0.6149,0.6792,0.6071,,,0.0527,0.0716,2000
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,2000
RandomForest,TVAE,0.4208,0.5386,0.4208,0.4325,,,-0.054,-0.0665,2000
DecisionTree,CTGAN,0.4583,0.5697,0.4583,0.4729,,,-0.0062,-0.0074,250
DecisionTree,GaussianCopula,0.5792,0.6436,0.5792,0.5952,,,0.1447,0.1543,250
DecisionTree,Original,0.7125,0.7205,0.7125,0.7159,,,0.3432,0.3439,250
DecisionTree,TVAE,0.4958,0.5807,0.4958,0.5144,,,0.0137,0.0152,250
KNN,CTGAN,0.575,0.551,0.575,0.5614,,,-0.0515,-0.0521,250
KNN,GaussianCopula,0.6667,0.6141,0.6667,0.6193,,,0.0726,0.0832,250
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,250
KNN,TVAE,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969,250
LogisticRegression,CTGAN,0.5875,0.6011,0.5875,0.5936,,,0.0644,0.0647,250
LogisticRegression,GaussianCopula,0.6,0.6454,0.6,0.6138,,,0.1569,0.1627,250
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,250
LogisticRegression,TVAE,0.5833,0.5738,0.5833,0.5782,,,0.0007,0.0007,250
RandomForest,CTGAN,0.5958,0.5645,0.5958,0.577,,,-0.0202,-0.0206,250
RandomForest,GaussianCopula,0.6583,0.6114,0.6583,0.6201,,,0.0741,0.0812,250
RandomForest,Original,0.8042,0.7994,0.8042,0.7925,,,0.4976,0.5134,250
RandomForest,TVAE,0.5917,0.5191,0.5917,0.546,,,-0.1065,-0.1166,250
DecisionTree,CTGAN,0.4792,0.5542,0.4792,0.499,,,-0.0383,-0.0417,4000
DecisionTree,GaussianCopula,0.5917,0.6341,0.5917,0.6053,,,0.1335,0.1378,4000
DecisionTree,Original,0.7083,0.7176,0.7083,0.7122,,,0.3361,0.337,4000
DecisionTree,TVAE,0.4667,0.5685,0.4667,0.4835,,,-0.0087,-0.01,4000
KNN,CTGAN,0.5583,0.5927,0.5583,0.5712,,,0.0433,0.0442,4000
KNN,GaussianCopula,0.6375,0.5293,0.6375,0.5613,,,-0.0603,-0.079,4000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,4000
KNN,TVAE,0.6583,0.5831,0.6583,0.5935,,,0.0144,0.018,4000
LogisticRegression,CTGAN,0.4208,0.6091,0.4208,0.4021,,,0.0357,0.0546,4000
LogisticRegression,GaussianCopula,0.7167,0.7257,0.7167,0.6368,,,0.1349,0.2194,4000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,4000
LogisticRegression,TVAE,0.5125,0.5685,0.5125,0.5304,,,-0.0105,-0.011,4000
RandomForest,CTGAN,0.5167,0.6074,0.5167,0.534,,,0.0633,0.0709,4000
RandomForest,GaussianCopula,0.6833,0.6288,0.6833,0.619,,,0.078,0.1006,4000
RandomForest,Original,0.7792,0.7701,0.7792,0.7689,,,0.4426,0.4517,4000
RandomForest,TVAE,0.4375,0.5655,0.4375,0.4462,,,-0.0119,-0.0149,4000
DecisionTree,CTGAN,0.5708,0.5724,0.5708,0.5716,,,-0.0024,-0.0024,500
DecisionTree,GaussianCopula,0.6125,0.5992,0.6125,0.6051,,,0.0598,0.0601,500
DecisionTree,Original,0.6917,0.7066,0.6917,0.6974,,,0.3082,0.3102,500
DecisionTree,TVAE,0.5292,0.5662,0.5292,0.5433,,,-0.0163,-0.0167,500
KNN,CTGAN,0.5167,0.5588,0.5167,0.5322,,,-0.0326,-0.0336,500
KNN,GaussianCopula,0.65,0.6096,0.65,0.62,,,0.0756,0.0801,500
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,500
KNN,TVAE,0.6958,0.7887,0.6958,0.5752,,,0.0186,0.0969,500
LogisticRegression,CTGAN,0.4833,0.6235,0.4833,0.4907,,,0.0732,0.0927,500
LogisticRegression,GaussianCopula,0.75,0.7437,0.75,0.7145,,,0.3045,0.3486,500
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,500
LogisticRegression,TVAE,0.5792,0.5573,0.5792,0.5668,,,-0.0371,-0.0375,500
RandomForest,CTGAN,0.475,0.5707,0.475,0.4928,,,-0.0051,-0.0058,500
RandomForest,GaussianCopula,0.6292,0.5586,0.6292,0.5785,,,-0.0271,-0.0308,500
RandomForest,Original,0.775,0.7656,0.775,0.7652,,,0.4344,0.4423,500
RandomForest,TVAE,0.5458,0.5334,0.5458,0.5392,,,-0.0935,-0.0937,500
DecisionTree,CTGAN,0.4583,0.577,0.4583,0.4709,,,0.0056,0.0068,8000
DecisionTree,GaussianCopula,0.5167,0.5402,0.5167,0.5269,,,-0.0767,-0.0774,8000
DecisionTree,Original,0.7167,0.7308,0.7167,0.722,,,0.3643,0.3666,8000
DecisionTree,TVAE,0.4458,0.5717,0.4458,0.4557,,,-0.0026,-0.0033,8000
KNN,CTGAN,0.4667,0.5283,0.4667,0.4867,,,-0.0946,-0.1001,8000
KNN,GaussianCopula,0.6833,0.6336,0.6833,0.6273,,,0.0949,0.1156,8000
KNN,Original,0.6625,0.6241,0.6625,0.6322,,,0.1048,0.1116,8000
KNN,TVAE,0.675,0.5707,0.675,0.5775,,,-0.0021,-0.0038,8000
LogisticRegression,CTGAN,0.4708,0.5894,0.4708,0.4837,,,0.0257,0.031,8000
LogisticRegression,GaussianCopula,0.7083,0.691,0.7083,0.6312,,,0.118,0.1803,8000
LogisticRegression,Original,0.7208,0.7198,0.7208,0.7203,,,0.343,0.343,8000
LogisticRegression,TVAE,0.5,0.5579,0.5,0.5185,,,-0.033,-0.0347,8000
RandomForest,CTGAN,0.4667,0.5866,0.4667,0.4791,,,0.0209,0.0254,8000
RandomForest,GaussianCopula,0.7083,0.6838,0.7083,0.6406,,,0.1347,0.1867,8000
RandomForest,Original,0.7958,0.7888,0.7958,0.7863,,,0.4847,0.4946,8000
RandomForest,TVAE,0.4292,0.5707,0.4292,0.4318,,,-0.0038,-0.005,8000
